n   x   y
0 3 0
1 3.00831 0.0300841
2 3.01318 0.0610507
3 3.01456 0.092508
4 3.01244 0.124066
5 3.00683 0.155339
6 2.99779 0.18594
7 2.9854 0.215486
8 2.96977 0.243598
9 2.95107 0.269898
10 2.92949 0.294013
11 2.90527 0.315576
12 2.87871 0.334231
13 2.85014 0.349634
14 2.81999 0.361463
15 2.78872 0.369426
16 2.75687 0.373269
17 2.72504 0.37279
18 2.69392 0.367858
19 2.66425 0.358428
20 2.63679 0.344562
21 2.61235 0.326449
22 2.59169 0.304421
23 2.57552 0.278969
24 2.56444 0.25074
25 2.55886 0.22053
26 2.55901 0.189253
27 2.56487 0.157902
28 2.57622 0.127488
29 2.59261 0.0989833
30 2.61343 0.0732622
31 2.63797 0.0510574
32 2.66546 0.0329329
33 2.69508 0.019275
34 2.72606 0.0102996
35 2.75766 0.00606989
36 2.78918 0.00652021
37 2.82003 0.0114813
38 2.84964 0.0207043
39 2.87756 0.033882
40 2.90337 0.0506662
41 2.92673 0.0706812
42 2.94735 0.0935347
43 2.965 0.118825
44 2.97949 0.146147
45 2.99069 0.175095
46 2.99847 0.205266
47 3.00279 0.23626
48 3.00359 0.267681
49 3.00089 0.299139
50 2.9947 0.330245
51 2.9851 0.360618
52 2.97217 0.389878
53 2.95604 0.417651
54 2.93688 0.443568
55 2.91489 0.467267
56 2.89032 0.488391
57 2.86346 0.506598
58 2.83465 0.521559
59 2.80431 0.532969
60 2.77288 0.540549
61 2.74091 0.544061
62 2.70898 0.543318
63 2.67776 0.538201
64 2.64796 0.528671
65 2.62034 0.514794
66 2.59569 0.496756
67 2.57476 0.474879
68 2.55829 0.449635
69 2.54685 0.421649
70 2.54092 0.39169
71 2.54073 0.360647
72 2.5463 0.329491
73 2.55744 0.299221
74 2.5737 0.270809
75 2.59449 0.245138
76 2.61908 0.222957
77 2.64668 0.204849
78 2.67646 0.191221
79 2.70762 0.182304
80 2.73937 0.178172
81 2.77103 0.178762
82 2.80195 0.183903
83 2.83158 0.193341
84 2.85944 0.206759
85 2.88511 0.223795
86 2.90826 0.244061
87 2.92859 0.267153
88 2.94589 0.292656
89 2.95996 0.320154
90 2.97068 0.349233
91 2.97795 0.379481
92 2.98172 0.410492
93 2.98196 0.441867
94 2.97868 0.473214
95 2.97192 0.504144
96 2.96176 0.534277
97 2.9483 0.563239
98 2.93168 0.590662
99 2.91207 0.616184
100 2.88968 0.639452
101 2.86476 0.660122
102 2.8376 0.677864
103 2.80856 0.692364
104 2.77803 0.703331
105 2.74646 0.710501
106 2.71438 0.713653
107 2.68236 0.712612
108 2.65105 0.707271
109 2.62114 0.6976
110 2.59338 0.683669
111 2.56854 0.665661
112 2.54737 0.643891
113 2.53059 0.618816
114 2.51881 0.591041
115 2.5125 0.56131
116 2.51194 0.530488
117 2.51719 0.499525
118 2.52807 0.469405
119 2.54416 0.441096
120 2.56488 0.415485
121 2.58949 0.393336
122 2.61718 0.375251
123 2.64711 0.361654
124 2.67842 0.352794
125 2.71034 0.348753
126 2.74214 0.349475
127 2.77315 0.354787
128 2.80281 0.36443
129 2.83062 0.378076
130 2.85618 0.395353
131 2.87912 0.415861
132 2.89918 0.439181
133 2.91614 0.464888
134 2.9298 0.492553
135 2.94006 0.521753
136 2.94683 0.552068
137 2.95006 0.583087
138 2.94974 0.614407
139 2.9459 0.645633
140 2.93858 0.676377
141 2.92787 0.706261
142 2.91388 0.734914
143 2.89677 0.761975
144 2.87671 0.78709
145 2.85393 0.809914
146 2.82866 0.830116
147 2.80123 0.847377
148 2.77195 0.861398
149 2.74125 0.8719
150 2.70955 0.878637
151 2.67737 0.8814
152 2.64527 0.88003
153 2.61389 0.87443
154 2.5839 0.864579
155 2.55602 0.850551
156 2.53101 0.83253
157 2.50961 0.810824
158 2.49253 0.785878
159 2.48041 0.758279
160 2.47372 0.728749
161 2.47278 0.69813
162 2.47767 0.667351
163 2.48825 0.637381
164 2.50413 0.609179
165 2.52473 0.583638
166 2.54933 0.561529
167 2.57708 0.543473
168 2.60713 0.52991
169 2.6386 0.521103
170 2.67069 0.51715
171 2.70262 0.517996
172 2.73373 0.523472
173 2.76343 0.53331
174 2.79122 0.547175
175 2.81667 0.564684
176 2.83944 0.585424
177 2.85924 0.608963
178 2.87586 0.634864
179 2.88914 0.662688
180 2.89895 0.692
181 2.90522 0.722374
182 2.90792 0.753393
183 2.90706 0.784648
184 2.90265 0.815744
185 2.89478 0.846292
186 2.88353 0.875918
187 2.86903 0.904253
188 2.85144 0.930941
189 2.83094 0.955637
190 2.80776 0.978006
191 2.78217 0.997726
192 2.75445 1.01449
193 2.72496 1.02802
194 2.69409 1.03803
195 2.66227 1.04432
196 2.63 1.04667
197 2.59785 1.04494
198 2.56641 1.03904
199 2.53636 1.02898
200 2.50838 1.01481
201 2.48322 0.996737
202 2.46162 0.975053
203 2.44427 0.950195
204 2.43181 0.922735
205 2.42474 0.893376
206 2.4234 0.862938
207 2.42791 0.832329
208 2.43816 0.802503
209 2.45378 0.77441
210 2.47423 0.748942
211 2.49876 0.72688
212 2.52655 0.708857
213 2.55669 0.695329
214 2.58831 0.686577
215 2.62055 0.682706
216 2.65263 0.683672
217 2.68385 0.689302
218 2.71361 0.699327
219 2.74139 0.713403
220 2.76675 0.731136
221 2.78935 0.752099
222 2.80891 0.77585
223 2.82522 0.801937
224 2.83811 0.829911
225 2.84749 0.859328
226 2.85328 0.889753
227 2.85547 0.920763
228 2.85407 0.951946
229 2.84912 0.982904
230 2.8407 1.01325
231 2.82891 1.04261
232 2.81391 1.07061
233 2.79584 1.09692
234 2.77491 1.12119
235 2.75136 1.14309
236 2.72543 1.16231
237 2.69745 1.17857
238 2.66775 1.19158
239 2.63672 1.2011
240 2.60479 1.20691
241 2.57246 1.20882
242 2.54026 1.2067
243 2.50879 1.20049
244 2.47869 1.19017
245 2.45064 1.17583
246 2.42537 1.15766
247 2.40358 1.13596
248 2.38599 1.11115
249 2.37321 1.08379
250 2.36576 1.05457
251 2.36402 1.02429
252 2.36812 0.99383
253 2.378 0.964138
254 2.39333 0.93615
255 2.41357 0.910757
256 2.438 0.888745
257 2.46579 0.870758
258 2.49601 0.857268
259 2.52775 0.848568
260 2.56014 0.844778
261 2.59237 0.845857
262 2.62371 0.851636
263 2.65353 0.861841
264 2.68131 0.87612
265 2.70661 0.894068
266 2.72906 0.915248
267 2.7484 0.939203
268 2.7644 0.965469
269 2.77693 0.993587
270 2.78589 1.0231
271 2.79121 1.05357
272 2.7929 1.08456
273 2.79097 1.11567
274 2.78548 1.14648
275 2.77652 1.17661
276 2.76422 1.20569
277 2.74871 1.23336
278 2.73018 1.25928
279 2.70884 1.28311
280 2.68491 1.30453
281 2.65867 1.32325
282 2.63042 1.33899
283 2.60052 1.35147
284 2.56934 1.36047
285 2.53732 1.36579
286 2.50493 1.36724
287 2.47271 1.36472
288 2.44123 1.35815
289 2.41111 1.34755
290 2.38302 1.33301
291 2.35765 1.31471
292 2.33572 1.29295
293 2.3179 1.26815
294 2.30482 1.24085
295 2.29701 1.21173
296 2.29486 1.18157
297 2.29855 1.15125
298 2.30803 1.12167
299 2.32303 1.09378
300 2.34302 1.06846
301 2.36731 1.04649
302 2.39505 1.02854
303 2.42532 1.01509
304 2.45717 1.00645
305 2.4897 1.00273
306 2.52207 1.00392
307 2.55353 1.00984
308 2.58344 1.02022
309 2.61123 1.0347
310 2.63647 1.05285
311 2.65879 1.07424
312 2.67792 1.0984
313 2.69365 1.12484
314 2.70583 1.15309
315 2.71438 1.1827
316 2.71925 1.21321
317 2.72044 1.24418
318 2.718 1.27519
319 2.71199 1.30585
320 2.70251 1.33577
321 2.68969 1.36456
322 2.67369 1.39189
323 2.65471 1.41741
324 2.63295 1.44079
325 2.60866 1.46172
326 2.58211 1.47993
327 2.55362 1.49513
328 2.52352 1.50708
329 2.49221 1.51555
330 2.4601 1.52035
331 2.42768 1.52132
332 2.39545 1.51837
333 2.36397 1.51143
334 2.33385 1.50052
335 2.30575 1.48574
336 2.28032 1.46727
337 2.25827 1.44542
338 2.24026 1.42059
339 2.22691 1.39332
340 2.21876 1.36427
341 2.21621 1.33421
342 2.21947 1.30398
343 2.22854 1.2745
344 2.24317 1.2467
345 2.26288 1.22144
346 2.28698 1.19952
347 2.31463 1.18161
348 2.3449 1.16819
349 2.37684 1.15959
350 2.4095 1.15595
351 2.44201 1.15725
352 2.4736 1.16331
353 2.50359 1.17385
354 2.53141 1.18852
355 2.55662 1.20688
356 2.57883 1.22848
357 2.59777 1.25282
358 2.61323 1.27943
359 2.62508 1.30782
360 2.63324 1.33751
361 2.63767 1.36805
362 2.63838 1.39899
363 2.63544 1.42992
364 2.62891 1.46042
365 2.61892 1.49011
366 2.6056 1.51861
367 2.58912 1.54559
368 2.56969 1.5707
369 2.54753 1.59362
370 2.52289 1.61407
371 2.49604 1.63175
372 2.46731 1.6464
373 2.43703 1.6578
374 2.4056 1.66572
375 2.37343 1.67
376 2.34097 1.67048
377 2.30875 1.66707
378 2.2773 1.65973
379 2.24721 1.64849
380 2.21912 1.63344
381 2.19367 1.61478
382 2.17153 1.5928
383 2.15335 1.56791
384 2.13977 1.54063
385 2.1313 1.51162
386 2.12837 1.48161
387 2.1312 1.45146
388 2.13984 1.42206
389 2.15408 1.39432
390 2.17346 1.36911
391 2.19733 1.34723
392 2.22485 1.32935
393 2.2551 1.31596
394 2.28708 1.30741
395 2.31985 1.30385
396 2.3525 1.30524
397 2.38421 1.31143
398 2.4143 1.32214
399 2.44217 1.33699
400 2.46735 1.35555
401 2.48946 1.37735
402 2.50823 1.40188
