n	x	y	z
0 1.48442 -2.60701 0.5
1 1.49752 -2.61783 0.499937
2 1.51078 -2.6283 0.499745
3 1.52418 -2.6384 0.49942
4 1.53771 -2.64816 0.498962
5 1.55137 -2.65755 0.498366
6 1.56513 -2.66659 0.497632
7 1.57899 -2.67527 0.496758
8 1.59294 -2.6836 0.495743
9 1.60697 -2.69158 0.494585
10 1.62107 -2.69921 0.493284
11 1.63522 -2.70649 0.491839
12 1.64943 -2.71342 0.49025
13 1.66367 -2.72001 0.488517
14 1.67795 -2.72626 0.48664
15 1.69225 -2.73216 0.484618
16 1.70657 -2.73774 0.482452
17 1.7209 -2.74297 0.480142
18 1.73523 -2.74788 0.477689
19 1.74956 -2.75246 0.475093
20 1.76388 -2.75671 0.472356
21 1.77817 -2.76064 0.469478
22 1.79244 -2.76425 0.46646
23 1.80669 -2.76754 0.463302
24 1.82089 -2.77052 0.460007
25 1.83505 -2.77319 0.456575
26 1.84916 -2.77555 0.453008
27 1.86322 -2.7776 0.449306
28 1.87722 -2.77935 0.445471
29 1.89115 -2.78081 0.441505
30 1.90501 -2.78196 0.437409
31 1.9188 -2.78283 0.433184
32 1.93251 -2.7834 0.428833
33 1.94614 -2.78369 0.424356
34 1.95968 -2.78369 0.419755
35 1.97312 -2.78342 0.415033
36 1.98647 -2.78286 0.41019
37 1.99971 -2.78203 0.405228
38 2.01285 -2.78092 0.400149
39 2.02588 -2.77955 0.394956
40 2.0388 -2.77791 0.389649
41 2.0516 -2.77601 0.38423
42 2.06428 -2.77384 0.378702
43 2.07683 -2.77142 0.373066
44 2.08926 -2.76874 0.367324
45 2.10155 -2.76581 0.361479
46 2.11371 -2.76262 0.355531
47 2.12573 -2.75919 0.349483
48 2.1376 -2.75552 0.343337
49 2.14933 -2.7516 0.337094
50 2.16091 -2.74744 0.330757
51 2.17234 -2.74305 0.324328
52 2.18362 -2.73842 0.317809
53 2.19473 -2.73356 0.311201
54 2.20569 -2.72848 0.304507
55 2.21648 -2.72316 0.297729
56 2.2271 -2.71762 0.290869
57 2.23755 -2.71186 0.283928
58 2.24783 -2.70588 0.27691
59 2.25793 -2.69969 0.269815
60 2.26785 -2.69328 0.262646
61 2.27759 -2.68666 0.255405
62 2.28715 -2.67983 0.248095
63 2.29651 -2.6728 0.240716
64 2.30569 -2.66556 0.233272
