n	rho	drho
0 3 30
1 3.0006 29.8929
2 3.0012 29.7857
3 3.00179 29.6784
4 3.00238 29.571
5 3.00297 29.4635
6 3.00356 29.3559
7 3.00415 29.2482
8 3.00473 29.1404
9 3.00531 29.0324
10 3.00589 28.9244
11 3.00647 28.8163
12 3.00705 28.7081
13 3.00762 28.5998
14 3.00819 28.4914
15 3.00876 28.3829
16 3.00932 28.2743
17 3.00989 28.1656
18 3.01045 28.0569
19 3.01101 27.948
20 3.01157 27.8391
21 3.01212 27.73
22 3.01268 27.6209
23 3.01323 27.5117
24 3.01378 27.4024
25 3.01433 27.293
26 3.01487 27.1835
27 3.01541 27.0739
28 3.01595 26.9643
29 3.01649 26.8545
30 3.01703 26.7447
31 3.01756 26.6348
32 3.01809 26.5248
33 3.01862 26.4148
34 3.01915 26.3046
35 3.01967 26.1944
36 3.0202 26.0841
37 3.02072 25.9737
38 3.02124 25.8633
39 3.02175 25.7528
40 3.02227 25.6422
41 3.02278 25.5315
42 3.02329 25.4207
43 3.0238 25.3099
44 3.0243 25.199
45 3.0248 25.088
46 3.0253 24.977
47 3.0258 24.8659
48 3.0263 24.7547
49 3.02679 24.6434
50 3.02728 24.5321
51 3.02777 24.4207
52 3.02826 24.3092
53 3.02875 24.1977
54 3.02923 24.0861
55 3.02971 23.9745
56 3.03019 23.8627
57 3.03066 23.751
58 3.03114 23.6391
59 3.03161 23.5272
60 3.03208 23.4152
61 3.03255 23.3032
62 3.03301 23.1911
63 3.03347 23.0789
64 3.03393 22.9667
65 3.03439 22.8544
66 3.03485 22.7421
67 3.0353 22.6297
68 3.03575 22.5172
69 3.0362 22.4047
70 3.03665 22.2921
71 3.03709 22.1795
72 3.03754 22.0668
73 3.03798 21.9541
74 3.03842 21.8413
75 3.03885 21.7285
76 3.03928 21.6156
77 3.03972 21.5026
78 3.04014 21.3896
79 3.04057 21.2766
80 3.041 21.1635
81 3.04142 21.0503
82 3.04184 20.9371
83 3.04225 20.8239
84 3.04267 20.7106
85 3.04308 20.5972
86 3.04349 20.4838
87 3.0439 20.3704
88 3.04431 20.2569
89 3.04471 20.1434
90 3.04511 20.0298
91 3.04551 19.9162
92 3.04591 19.8025
93 3.04631 19.6888
94 3.0467 19.575
95 3.04709 19.4612
96 3.04748 19.3474
97 3.04786 19.2335
98 3.04825 19.1196
99 3.04863 19.0056
100 3.04901 18.8916
101 3.04938 18.7776
102 3.04976 18.6635
103 3.05013 18.5493
104 3.0505 18.4352
105 3.05087 18.321
106 3.05123 18.2067
107 3.0516 18.0925
108 3.05196 17.9782
109 3.05232 17.8638
110 3.05267 17.7494
111 3.05302 17.635
112 3.05338 17.5205
113 3.05373 17.4061
114 3.05407 17.2915
115 3.05442 17.177
116 3.05476 17.0624
117 3.0551 16.9478
118 3.05544 16.8331
119 3.05577 16.7184
120 3.05611 16.6037
121 3.05644 16.489
122 3.05677 16.3742
123 3.05709 16.2594
124 3.05742 16.1446
125 3.05774 16.0297
126 3.05806 15.9148
127 3.05837 15.7999
128 3.05869 15.6849
129 3.059 15.57
130 3.05931 15.455
131 3.05962 15.3399
132 3.05993 15.2249
133 3.06023 15.1098
134 3.06053 14.9947
135 3.06083 14.8796
136 3.06113 14.7644
137 3.06142 14.6493
138 3.06171 14.5341
139 3.062 14.4188
140 3.06229 14.3036
141 3.06257 14.1883
142 3.06286 14.073
143 3.06314 13.9577
144 3.06341 13.8424
145 3.06369 13.7271
146 3.06396 13.6117
147 3.06423 13.4963
148 3.0645 13.3809
149 3.06477 13.2655
150 3.06503 13.15
151 3.0653 13.0345
152 3.06556 12.9191
153 3.06581 12.8036
154 3.06607 12.688
155 3.06632 12.5725
156 3.06657 12.457
157 3.06682 12.3414
158 3.06706 12.2258
159 3.06731 12.1102
160 3.06755 11.9946
161 3.06779 11.879
162 3.06802 11.7634
163 3.06826 11.6477
164 3.06849 11.532
165 3.06872 11.4164
166 3.06895 11.3007
167 3.06917 11.185
168 3.06939 11.0693
169 3.06961 10.9536
170 3.06983 10.8378
171 3.07005 10.7221
172 3.07026 10.6063
173 3.07047 10.4906
174 3.07068 10.3748
175 3.07089 10.259
176 3.07109 10.1432
177 3.07129 10.0274
178 3.07149 9.91161
179 3.07169 9.7958
180 3.07188 9.67998
181 3.07208 9.56415
182 3.07227 9.44832
183 3.07245 9.33248
184 3.07264 9.21663
185 3.07282 9.10078
186 3.073 8.98493
187 3.07318 8.86907
188 3.07336 8.7532
189 3.07353 8.63734
190 3.0737 8.52147
191 3.07387 8.40559
192 3.07404 8.28971
193 3.0742 8.17384
194 3.07437 8.05795
195 3.07453 7.94207
196 3.07468 7.82619
197 3.07484 7.7103
198 3.07499 7.59442
199 3.07514 7.47853
200 3.07529 7.36264
201 3.07544 7.24676
202 3.07558 7.13087
203 3.07572 7.01499
204 3.07586 6.89911
205 3.076 6.78323
206 3.07613 6.66735
207 3.07627 6.55147
208 3.0764 6.4356
209 3.07652 6.31973
210 3.07665 6.20387
211 3.07677 6.08801
212 3.07689 5.97215
213 3.07701 5.8563
214 3.07713 5.74045
215 3.07724 5.62461
216 3.07735 5.50877
217 3.07746 5.39294
218 3.07757 5.27712
219 3.07767 5.1613
220 3.07777 5.04549
221 3.07787 4.92969
222 3.07797 4.81389
223 3.07807 4.69811
224 3.07816 4.58233
225 3.07825 4.46656
226 3.07834 4.3508
227 3.07842 4.23505
228 3.07851 4.11931
229 3.07859 4.00358
230 3.07867 3.88787
231 3.07874 3.77216
232 3.07882 3.65646
233 3.07889 3.54078
234 3.07896 3.4251
235 3.07903 3.30944
236 3.07909 3.1938
237 3.07915 3.07816
238 3.07921 2.96254
239 3.07927 2.84694
240 3.07933 2.73134
241 3.07938 2.61577
242 3.07943 2.5002
243 3.07948 2.38466
244 3.07953 2.26912
245 3.07957 2.15361
246 3.07961 2.03811
247 3.07965 1.92263
248 3.07969 1.80716
249 3.07973 1.69171
250 3.07976 1.57628
251 3.07979 1.46087
252 3.07982 1.34548
253 3.07984 1.2301
254 3.07987 1.11474
255 3.07989 0.999409
256 3.07991 0.884093
257 3.07992 0.768798
258 3.07994 0.653523
259 3.07995 0.53827
260 3.07996 0.423037
261 3.07997 0.307827
262 3.07997 0.192639
263 3.07997 0.0774737
264 3.07997 -0.0376688
265 3.07997 -0.152788
