n	rho	drho
0 3 29
1 3.00058 28.8929
2 3.00116 28.7857
3 3.00173 28.6784
4 3.0023 28.571
5 3.00287 28.4635
6 3.00344 28.3559
7 3.00401 28.2482
8 3.00457 28.1404
9 3.00513 28.0325
10 3.00569 27.9245
11 3.00625 27.8165
12 3.00681 27.7083
13 3.00736 27.6
14 3.00791 27.4916
15 3.00846 27.3832
16 3.009 27.2746
17 3.00955 27.166
18 3.01009 27.0573
19 3.01063 26.9484
20 3.01117 26.8395
21 3.0117 26.7305
22 3.01224 26.6215
23 3.01277 26.5123
24 3.0133 26.403
25 3.01383 26.2937
26 3.01435 26.1843
27 3.01487 26.0748
28 3.01539 25.9652
29 3.01591 25.8555
30 3.01643 25.7458
31 3.01694 25.6359
32 3.01745 25.526
33 3.01796 25.416
34 3.01847 25.306
35 3.01897 25.1958
36 3.01948 25.0856
37 3.01998 24.9753
38 3.02048 24.8649
39 3.02097 24.7545
40 3.02147 24.644
41 3.02196 24.5334
42 3.02245 24.4227
43 3.02294 24.312
44 3.02342 24.2012
45 3.0239 24.0903
46 3.02438 23.9794
47 3.02486 23.8683
48 3.02534 23.7573
49 3.02581 23.6461
50 3.02628 23.5349
51 3.02675 23.4236
52 3.02722 23.3122
53 3.02769 23.2008
54 3.02815 23.0894
55 3.02861 22.9778
56 3.02907 22.8662
57 3.02953 22.7545
58 3.02998 22.6428
59 3.03043 22.531
60 3.03088 22.4191
61 3.03133 22.3072
62 3.03177 22.1953
63 3.03222 22.0832
64 3.03266 21.9711
65 3.03309 21.859
66 3.03353 21.7468
67 3.03396 21.6345
68 3.0344 21.5222
69 3.03483 21.4098
70 3.03525 21.2974
71 3.03568 21.1849
72 3.0361 21.0724
73 3.03652 20.9598
74 3.03694 20.8471
75 3.03735 20.7344
76 3.03777 20.6217
77 3.03818 20.5089
78 3.03859 20.3961
79 3.03899 20.2832
80 3.0394 20.1702
81 3.0398 20.0572
82 3.0402 19.9442
83 3.0406 19.8311
84 3.04099 19.7179
85 3.04139 19.6048
86 3.04178 19.4915
87 3.04217 19.3782
88 3.04255 19.2649
89 3.04294 19.1516
90 3.04332 19.0382
91 3.0437 18.9247
92 3.04408 18.8112
93 3.04445 18.6977
94 3.04482 18.5841
95 3.0452 18.4705
96 3.04556 18.3568
97 3.04593 18.2431
98 3.04629 18.1294
99 3.04665 18.0156
100 3.04701 17.9018
101 3.04737 17.7879
102 3.04773 17.674
103 3.04808 17.5601
104 3.04843 17.4461
105 3.04878 17.3321
106 3.04912 17.218
107 3.04946 17.104
108 3.04981 16.9898
109 3.05014 16.8757
110 3.05048 16.7615
111 3.05081 16.6473
112 3.05115 16.533
113 3.05148 16.4188
114 3.0518 16.3044
115 3.05213 16.1901
116 3.05245 16.0757
117 3.05277 15.9613
118 3.05309 15.8469
119 3.0534 15.7324
120 3.05372 15.6179
121 3.05403 15.5034
122 3.05434 15.3888
123 3.05465 15.2742
124 3.05495 15.1596
125 3.05525 15.045
126 3.05555 14.9303
127 3.05585 14.8156
128 3.05614 14.7009
129 3.05644 14.5861
130 3.05673 14.4714
131 3.05702 14.3566
132 3.0573 14.2418
133 3.05759 14.1269
134 3.05787 14.012
135 3.05815 13.8971
136 3.05842 13.7822
137 3.0587 13.6673
138 3.05897 13.5523
139 3.05924 13.4374
140 3.05951 13.3224
141 3.05977 13.2073
142 3.06004 13.0923
143 3.0603 12.9772
144 3.06055 12.8622
145 3.06081 12.7471
146 3.06106 12.6319
147 3.06132 12.5168
148 3.06156 12.4017
149 3.06181 12.2865
150 3.06206 12.1713
151 3.0623 12.0561
152 3.06254 11.9409
153 3.06278 11.8256
154 3.06301 11.7104
155 3.06324 11.5951
156 3.06348 11.4798
157 3.0637 11.3645
158 3.06393 11.2492
159 3.06415 11.1339
160 3.06438 11.0186
161 3.06459 10.9032
162 3.06481 10.7879
163 3.06503 10.6725
164 3.06524 10.5571
165 3.06545 10.4417
166 3.06566 10.3263
167 3.06586 10.2109
168 3.06606 10.0955
169 3.06627 9.98002
170 3.06646 9.86458
171 3.06666 9.74912
172 3.06685 9.63366
173 3.06705 9.51819
174 3.06723 9.40271
175 3.06742 9.28723
176 3.06761 9.17173
177 3.06779 9.05624
178 3.06797 8.94073
179 3.06815 8.82522
180 3.06832 8.7097
181 3.06849 8.59418
182 3.06866 8.47865
183 3.06883 8.36312
184 3.069 8.24759
185 3.06916 8.13205
186 3.06932 8.01651
187 3.06948 7.90096
188 3.06964 7.78542
189 3.0698 7.66987
190 3.06995 7.55431
191 3.0701 7.43876
192 3.07024 7.32321
193 3.07039 7.20765
194 3.07053 7.0921
195 3.07067 6.97654
196 3.07081 6.86099
197 3.07095 6.74543
198 3.07108 6.62988
199 3.07121 6.51433
200 3.07134 6.39878
201 3.07147 6.28323
202 3.07159 6.16769
203 3.07172 6.05215
204 3.07184 5.93661
205 3.07195 5.82107
206 3.07207 5.70554
207 3.07218 5.59002
208 3.07229 5.47449
209 3.0724 5.35898
210 3.07251 5.24347
211 3.07261 5.12796
212 3.07271 5.01246
213 3.07281 4.89697
214 3.07291 4.78148
215 3.073 4.666
216 3.07309 4.55053
217 3.07318 4.43507
218 3.07327 4.31961
219 3.07336 4.20417
220 3.07344 4.08873
221 3.07352 3.9733
222 3.0736 3.85789
223 3.07368 3.74248
224 3.07375 3.62708
225 3.07382 3.51169
226 3.07389 3.39632
227 3.07396 3.28095
228 3.07402 3.1656
229 3.07408 3.05026
230 3.07414 2.93494
231 3.0742 2.81962
232 3.07426 2.70432
233 3.07431 2.58904
234 3.07436 2.47376
235 3.07441 2.3585
236 3.07445 2.24326
237 3.0745 2.12803
238 3.07454 2.01282
239 3.07458 1.89763
240 3.07461 1.78245
241 3.07465 1.66728
242 3.07468 1.55214
243 3.07471 1.43701
244 3.07474 1.3219
245 3.07476 1.2068
246 3.07479 1.09173
247 3.07481 0.976674
248 3.07483 0.861638
249 3.07484 0.746622
250 3.07486 0.631625
251 3.07487 0.51665
252 3.07488 0.401695
253 3.07488 0.286761
254 3.07489 0.171849
255 3.07489 0.0569584
256 3.07489 -0.0579096
257 3.07489 -0.172755
258 3.07488 -0.287577
259 3.07488 -0.402376
260 3.07487 -0.51715
261 3.07486 -0.631901
262 3.07484 -0.746627
263 3.07483 -0.861328
264 3.07481 -0.976004
