n	x	y	z
0 3 0 0.5
1 3.0002 0.00060004 0.5
2 3.0004 0.00120016 0.5
3 3.0006 0.00180036 0.5
4 3.0008 0.00240064 0.5
5 3.001 0.003001 0.5
6 3.0012 0.00360144 0.5
7 3.0014 0.00420196 0.5
8 3.0016 0.00480256 0.5
9 3.0018 0.00540324 0.5
10 3.00199 0.006004 0.5
11 3.00219 0.00660483 0.5
12 3.00239 0.00720575 0.5
13 3.00259 0.00780675 0.5
14 3.00279 0.00840783 0.5
15 3.00299 0.00900899 0.5
16 3.00318 0.00961022 0.5
17 3.00338 0.0102115 0.5
18 3.00358 0.0108129 0.5
19 3.00378 0.0114144 0.5
20 3.00398 0.012016 0.5
21 3.00417 0.0126176 0.5
22 3.00437 0.0132193 0.5
23 3.00457 0.0138211 0.5
24 3.00477 0.014423 0.5
25 3.00496 0.0150249 0.5
26 3.00516 0.015627 0.5
27 3.00536 0.0162291 0.5
28 3.00555 0.0168313 0.5
29 3.00575 0.0174335 0.5
30 3.00595 0.0180359 0.5
31 3.00614 0.0186383 0.5
32 3.00634 0.0192408 0.5
33 3.00653 0.0198434 0.5
34 3.00673 0.0204461 0.5
35 3.00693 0.0210488 0.5
36 3.00712 0.0216517 0.5
37 3.00732 0.0222546 0.5
38 3.00751 0.0228575 0.5
39 3.00771 0.0234606 0.5
40 3.0079 0.0240637 0.5
41 3.0081 0.024667 0.5
42 3.00829 0.0252703 0.5
43 3.00849 0.0258736 0.5
44 3.00868 0.0264771 0.5
45 3.00888 0.0270806 0.5
46 3.00907 0.0276842 0.5
47 3.00927 0.0282879 0.5
48 3.00946 0.0288917 0.5
49 3.00966 0.0294956 0.5
50 3.00985 0.0300995 0.5
51 3.01004 0.0307035 0.5
52 3.01024 0.0313076 0.5
53 3.01043 0.0319118 0.5
54 3.01062 0.032516 0.5
55 3.01082 0.0331203 0.5
56 3.01101 0.0337247 0.5
57 3.0112 0.0343292 0.5
58 3.0114 0.0349338 0.5
59 3.01159 0.0355384 0.5
60 3.01178 0.0361431 0.5
61 3.01198 0.0367479 0.5
62 3.01217 0.0373528 0.5
63 3.01236 0.0379578 0.5
64 3.01255 0.0385628 0.5
65 3.01275 0.0391679 0.5
66 3.01294 0.0397731 0.5
67 3.01313 0.0403784 0.5
68 3.01332 0.0409837 0.5
69 3.01351 0.0415891 0.5
70 3.0137 0.0421946 0.5
71 3.0139 0.0428002 0.5
72 3.01409 0.0434059 0.5
73 3.01428 0.0440116 0.5
74 3.01447 0.0446174 0.5
75 3.01466 0.0452233 0.5
76 3.01485 0.0458293 0.5
77 3.01504 0.0464353 0.5
78 3.01523 0.0470415 0.5
79 3.01542 0.0476477 0.5
80 3.01561 0.0482539 0.5
81 3.0158 0.0488603 0.5
82 3.01599 0.0494667 0.5
83 3.01618 0.0500733 0.5
84 3.01637 0.0506799 0.5
85 3.01656 0.0512865 0.5
86 3.01675 0.0518933 0.5
87 3.01694 0.0525001 0.5
88 3.01713 0.053107 0.5
89 3.01732 0.053714 0.5
90 3.01751 0.0543211 0.5
91 3.0177 0.0549282 0.5
92 3.01789 0.0555354 0.5
93 3.01808 0.0561427 0.5
94 3.01827 0.0567501 0.5
95 3.01846 0.0573575 0.5
96 3.01864 0.0579651 0.5
97 3.01883 0.0585727 0.5
98 3.01902 0.0591804 0.5
99 3.01921 0.0597881 0.5
100 3.0194 0.060396 0.5
101 3.01958 0.0610039 0.5
102 3.01977 0.0616119 0.5
103 3.01996 0.06222 0.5
104 3.02015 0.0628281 0.5
105 3.02033 0.0634363 0.5
106 3.02052 0.0640446 0.5
107 3.02071 0.064653 0.5
108 3.0209 0.0652615 0.5
109 3.02108 0.06587 0.5
110 3.02127 0.0664786 0.5
111 3.02146 0.0670873 0.5
112 3.02164 0.0676961 0.5
113 3.02183 0.0683049 0.5
114 3.02201 0.0689139 0.5
115 3.0222 0.0695229 0.5
116 3.02239 0.0701319 0.5
117 3.02257 0.0707411 0.5
118 3.02276 0.0713503 0.5
119 3.02294 0.0719596 0.5
120 3.02313 0.072569 0.5
121 3.02331 0.0731785 0.5
122 3.0235 0.073788 0.5
123 3.02368 0.0743977 0.5
124 3.02387 0.0750074 0.5
125 3.02405 0.0756171 0.5
126 3.02424 0.076227 0.5
127 3.02442 0.0768369 0.5
128 3.02461 0.0774469 0.5
129 3.02479 0.078057 0.5
130 3.02498 0.0786671 0.5
131 3.02516 0.0792774 0.5
132 3.02535 0.0798877 0.5
133 3.02553 0.0804981 0.5
134 3.02571 0.0811085 0.5
135 3.0259 0.0817191 0.5
136 3.02608 0.0823297 0.5
137 3.02626 0.0829404 0.5
138 3.02645 0.0835512 0.5
139 3.02663 0.084162 0.5
140 3.02681 0.0847729 0.5
141 3.027 0.0853839 0.5
142 3.02718 0.085995 0.5
143 3.02736 0.0866062 0.5
144 3.02754 0.0872174 0.5
145 3.02773 0.0878287 0.5
146 3.02791 0.0884401 0.5
147 3.02809 0.0890515 0.5
148 3.02827 0.0896631 0.5
149 3.02845 0.0902747 0.5
150 3.02864 0.0908864 0.5
151 3.02882 0.0914981 0.5
152 3.029 0.09211 0.5
153 3.02918 0.0927219 0.5
154 3.02936 0.0933339 0.5
155 3.02954 0.093946 0.5
156 3.02972 0.0945581 0.5
157 3.02991 0.0951703 0.5
158 3.03009 0.0957826 0.5
159 3.03027 0.096395 0.5
160 3.03045 0.0970074 0.5
161 3.03063 0.09762 0.5
162 3.03081 0.0982326 0.5
163 3.03099 0.0988452 0.5
164 3.03117 0.099458 0.5
165 3.03135 0.100071 0.5
166 3.03153 0.100684 0.5
167 3.03171 0.101297 0.5
168 3.03189 0.10191 0.5
169 3.03207 0.102523 0.5
170 3.03225 0.103136 0.5
171 3.03243 0.103749 0.5
172 3.0326 0.104363 0.5
173 3.03278 0.104976 0.5
174 3.03296 0.10559 0.5
175 3.03314 0.106203 0.5
176 3.03332 0.106817 0.5
177 3.0335 0.107431 0.5
178 3.03368 0.108045 0.5
179 3.03385 0.108658 0.5
180 3.03403 0.109272 0.5
181 3.03421 0.109886 0.5
182 3.03439 0.110501 0.5
183 3.03457 0.111115 0.5
