n	x	y	z
0 3 0 0
1 3.00831 0.0300841 0
2 3.01318 0.0610507 0
3 3.01456 0.092508 0
4 3.01244 0.124066 0
5 3.00683 0.155339 0
6 2.99779 0.18594 0
7 2.9854 0.215486 0
8 2.96977 0.243598 0
9 2.95107 0.269898 0
10 2.92949 0.294013 0
11 2.90527 0.315576 0
12 2.87871 0.334231 0
13 2.85014 0.349634 0
14 2.81999 0.361463 0
15 2.78872 0.369426 0
16 2.75687 0.373269 0
17 2.72504 0.37279 0
18 2.69392 0.367858 0
19 2.66425 0.358428 0
20 2.63679 0.344562 0
21 2.61235 0.326449 0
22 2.59169 0.304421 0
23 2.57552 0.278969 0
24 2.56444 0.25074 0
25 2.55886 0.22053 0
26 2.55901 0.189253 0
27 2.56487 0.157902 0
28 2.57622 0.127488 0
29 2.59261 0.0989833 0
30 2.61343 0.0732622 0
31 2.63797 0.0510574 0
32 2.66546 0.0329329 0
33 2.69508 0.019275 0
34 2.72606 0.0102996 0
35 2.75766 0.00606989 0
36 2.78918 0.00652021 0
37 2.82003 0.0114813 0
38 2.84964 0.0207043 0
39 2.87756 0.033882 0
40 2.90337 0.0506662 0
41 2.92673 0.0706812 0
42 2.94735 0.0935347 0
43 2.965 0.118825 0
44 2.97949 0.146147 0
45 2.99069 0.175095 0
46 2.99847 0.205266 0
47 3.00279 0.23626 0
48 3.00359 0.267681 0
49 3.00089 0.299139 0
50 2.9947 0.330245 0
51 2.9851 0.360618 0
52 2.97217 0.389878 0
53 2.95604 0.417651 0
54 2.93688 0.443568 0
55 2.91489 0.467267 0
56 2.89032 0.488391 0
57 2.86346 0.506598 0
58 2.83465 0.521559 0
59 2.80431 0.532969 0
60 2.77288 0.540549 0
61 2.74091 0.544061 0
62 2.70898 0.543318 0
63 2.67776 0.538201 0
64 2.64796 0.528671 0
65 2.62034 0.514794 0
66 2.59569 0.496756 0
67 2.57476 0.474879 0
68 2.55829 0.449635 0
69 2.54685 0.421649 0
70 2.54092 0.39169 0
71 2.54073 0.360647 0
72 2.5463 0.329491 0
73 2.55744 0.299221 0
74 2.5737 0.270809 0
75 2.59449 0.245138 0
76 2.61908 0.222957 0
77 2.64668 0.204849 0
78 2.67646 0.191221 0
79 2.70762 0.182304 0
80 2.73937 0.178172 0
81 2.77103 0.178762 0
82 2.80195 0.183903 0
83 2.83158 0.193341 0
84 2.85944 0.206759 0
85 2.88511 0.223795 0
86 2.90826 0.244061 0
87 2.92859 0.267153 0
88 2.94589 0.292656 0
89 2.95996 0.320154 0
90 2.97068 0.349233 0
91 2.97795 0.379481 0
92 2.98172 0.410492 0
93 2.98196 0.441867 0
94 2.97868 0.473214 0
95 2.97192 0.504144 0
96 2.96176 0.534277 0
97 2.9483 0.563239 0
98 2.93168 0.590662 0
99 2.91207 0.616184 0
100 2.88968 0.639452 0
101 2.86476 0.660122 0
102 2.8376 0.677864 0
103 2.80856 0.692364 0
104 2.77803 0.703331 0
105 2.74646 0.710501 0
106 2.71438 0.713653 0
107 2.68236 0.712612 0
108 2.65105 0.707271 0
109 2.62114 0.6976 0
110 2.59338 0.683669 0
111 2.56854 0.665661 0
112 2.54737 0.643891 0
113 2.53059 0.618816 0
114 2.51881 0.591041 0
115 2.5125 0.56131 0
116 2.51194 0.530488 0
117 2.51719 0.499525 0
118 2.52807 0.469405 0
119 2.54416 0.441096 0
120 2.56488 0.415485 0
121 2.58949 0.393336 0
122 2.61718 0.375251 0
123 2.64711 0.361654 0
124 2.67842 0.352794 0
125 2.71034 0.348753 0
126 2.74214 0.349475 0
127 2.77315 0.354787 0
128 2.80281 0.36443 0
129 2.83062 0.378076 0
130 2.85618 0.395353 0
131 2.87912 0.415861 0
132 2.89918 0.439181 0
133 2.91614 0.464888 0
134 2.9298 0.492553 0
135 2.94006 0.521753 0
136 2.94683 0.552068 0
137 2.95006 0.583087 0
138 2.94974 0.614407 0
139 2.9459 0.645633 0
140 2.93858 0.676377 0
141 2.92787 0.706261 0
142 2.91388 0.734914 0
143 2.89677 0.761975 0
144 2.87671 0.78709 0
145 2.85393 0.809914 0
146 2.82866 0.830116 0
147 2.80123 0.847377 0
148 2.77195 0.861398 0
149 2.74125 0.8719 0
150 2.70955 0.878637 0
151 2.67737 0.8814 0
152 2.64527 0.88003 0
153 2.61389 0.87443 0
154 2.5839 0.864579 0
155 2.55602 0.850551 0
156 2.53101 0.83253 0
157 2.50961 0.810824 0
158 2.49253 0.785878 0
159 2.48041 0.758279 0
160 2.47372 0.728749 0
161 2.47278 0.69813 0
162 2.47767 0.667351 0
163 2.48825 0.637381 0
164 2.50413 0.609179 0
165 2.52473 0.583638 0
166 2.54933 0.561529 0
167 2.57708 0.543473 0
168 2.60713 0.52991 0
169 2.6386 0.521103 0
170 2.67069 0.51715 0
171 2.70262 0.517996 0
172 2.73373 0.523472 0
173 2.76343 0.53331 0
174 2.79122 0.547175 0
175 2.81667 0.564684 0
176 2.83944 0.585424 0
177 2.85924 0.608963 0
178 2.87586 0.634864 0
179 2.88914 0.662688 0
180 2.89895 0.692 0
181 2.90522 0.722374 0
182 2.90792 0.753393 0
183 2.90706 0.784648 0
184 2.90265 0.815744 0
185 2.89478 0.846292 0
186 2.88353 0.875918 0
187 2.86903 0.904253 0
188 2.85144 0.930941 0
189 2.83094 0.955637 0
190 2.80776 0.978006 0
191 2.78217 0.997726 0
192 2.75445 1.01449 0
193 2.72496 1.02802 0
194 2.69409 1.03803 0
195 2.66227 1.04432 0
196 2.63 1.04667 0
197 2.59785 1.04494 0
198 2.56641 1.03904 0
199 2.53636 1.02898 0
200 2.50838 1.01481 0
201 2.48322 0.996737 0
202 2.46162 0.975053 0
203 2.44427 0.950195 0
204 2.43181 0.922735 0
205 2.42474 0.893376 0
206 2.4234 0.862938 0
207 2.42791 0.832329 0
208 2.43816 0.802503 0
209 2.45378 0.77441 0
210 2.47423 0.748942 0
211 2.49876 0.72688 0
212 2.52655 0.708857 0
213 2.55669 0.695329 0
214 2.58831 0.686577 0
215 2.62055 0.682706 0
216 2.65263 0.683672 0
217 2.68385 0.689302 0
218 2.71361 0.699327 0
219 2.74139 0.713403 0
220 2.76675 0.731136 0
221 2.78935 0.752099 0
222 2.80891 0.77585 0
223 2.82522 0.801937 0
224 2.83811 0.829911 0
225 2.84749 0.859328 0
226 2.85328 0.889753 0
227 2.85547 0.920763 0
228 2.85407 0.951946 0
229 2.84912 0.982904 0
230 2.8407 1.01325 0
231 2.82891 1.04261 0
232 2.81391 1.07061 0
233 2.79584 1.09692 0
234 2.77491 1.12119 0
235 2.75136 1.14309 0
236 2.72543 1.16231 0
237 2.69745 1.17857 0
238 2.66775 1.19158 0
239 2.63672 1.2011 0
240 2.60479 1.20691 0
241 2.57246 1.20882 0
242 2.54026 1.2067 0
243 2.50879 1.20049 0
244 2.47869 1.19017 0
