n	v_eff	rho
0 0 3
1 450 3.00798
2 474.743 3.01594
3 499.764 3.02386
4 525.038 3.03175
5 550.544 3.03961
6 576.259 3.04743
7 602.161 3.05522
8 628.232 3.06298
9 654.452 3.0707
10 680.802 3.07839
11 707.264 3.08605
12 733.822 3.09366
13 760.46 3.10125
14 787.162 3.1088
15 813.913 3.11631
16 840.7 3.12379
17 867.509 3.13123
18 894.327 3.13864
19 921.142 3.14601
20 947.943 3.15334
21 974.719 3.16064
22 1001.46 3.1679
23 1028.15 3.17512
24 1054.79 3.18231
25 1081.37 3.18945
26 1107.87 3.19657
27 1134.29 3.20364
28 1160.63 3.21068
29 1186.87 3.21768
30 1213 3.22464
31 1239.03 3.23157
32 1264.95 3.23845
33 1290.74 3.24531
34 1316.41 3.25212
35 1341.95 3.25889
36 1367.35 3.26563
37 1392.62 3.27233
38 1417.74 3.279
39 1442.71 3.28562
40 1467.53 3.29221
41 1492.2 3.29876
42 1516.71 3.30527
43 1541.06 3.31175
44 1565.25 3.31819
45 1589.27 3.32459
46 1613.12 3.33095
47 1636.81 3.33728
48 1660.32 3.34357
49 1683.66 3.34982
50 1706.82 3.35604
51 1729.81 3.36222
52 1752.62 3.36836
53 1775.25 3.37446
54 1797.7 3.38053
55 1819.97 3.38656
56 1842.06 3.39256
57 1863.96 3.39852
58 1885.69 3.40444
59 1907.23 3.41032
60 1928.59 3.41617
61 1949.76 3.42199
62 1970.75 3.42776
63 1991.56 3.43351
64 2012.19 3.43921
65 2032.63 3.44488
66 2052.89 3.45051
67 2072.96 3.45611
68 2092.86 3.46168
69 2112.57 3.4672
70 2132.1 3.4727
71 2151.45 3.47815
72 2170.62 3.48357
73 2189.61 3.48896
74 2208.42 3.49431
75 2227.05 3.49963
76 2245.5 3.50491
77 2263.78 3.51016
78 2281.88 3.51538
79 2299.81 3.52056
80 2317.56 3.5257
81 2335.14 3.53081
82 2352.54 3.53589
83 2369.78 3.54093
84 2386.84 3.54594
85 2403.74 3.55092
86 2420.46 3.55586
87 2437.02 3.56077
88 2453.42 3.56564
89 2469.64 3.57049
90 2485.71 3.57529
91 2501.61 3.58007
92 2517.35 3.58481
93 2532.93 3.58952
94 2548.35 3.5942
95 2563.61 3.59885
96 2578.71 3.60346
97 2593.66 3.60804
98 2608.45 3.61259
99 2623.09 3.6171
100 2637.58 3.62159
101 2651.92 3.62604
102 2666.1 3.63046
103 2680.14 3.63485
104 2694.03 3.63921
105 2707.77 3.64353
106 2721.37 3.64782
107 2734.82 3.65209
108 2748.13 3.65632
109 2761.3 3.66052
110 2774.33 3.66469
111 2787.22 3.66883
112 2799.97 3.67294
113 2812.58 3.67701
114 2825.06 3.68106
115 2837.4 3.68508
116 2849.61 3.68906
117 2861.69 3.69302
118 2873.64 3.69694
119 2885.45 3.70084
120 2897.14 3.7047
121 2908.7 3.70854
122 2920.13 3.71235
123 2931.44 3.71612
124 2942.62 3.71987
125 2953.68 3.72359
126 2964.61 3.72727
127 2975.43 3.73093
128 2986.12 3.73456
129 2996.7 3.73816
130 3007.15 3.74173
131 3017.49 3.74527
132 3027.72 3.74879
133 3037.83 3.75227
134 3047.82 3.75573
135 3057.7 3.75916
136 3067.47 3.76256
137 3077.13 3.76593
138 3086.68 3.76927
139 3096.12 3.77258
140 3105.45 3.77587
141 3114.68 3.77913
142 3123.8 3.78236
143 3132.81 3.78556
144 3141.72 3.78874
145 3150.52 3.79188
146 3159.23 3.795
147 3167.83 3.79809
148 3176.33 3.80116
149 3184.73 3.80419
150 3193.03 3.8072
151 3201.23 3.81019
152 3209.34 3.81314
153 3217.35 3.81607
154 3225.26 3.81897
155 3233.08 3.82184
156 3240.81 3.82469
157 3248.44 3.82751
158 3255.98 3.83031
159 3263.43 3.83307
160 3270.78 3.83582
161 3278.05 3.83853
162 3285.23 3.84122
163 3292.32 3.84388
164 3299.32 3.84651
165 3306.23 3.84912
166 3313.06 3.85171
167 3319.8 3.85426
168 3326.46 3.85679
169 3333.03 3.8593
170 3339.52 3.86178
171 3345.93 3.86423
172 3352.25 3.86666
173 3358.5 3.86906
174 3364.66 3.87144
175 3370.74 3.87379
176 3376.74 3.87611
177 3382.66 3.87841
178 3388.51 3.88069
179 3394.27 3.88294
180 3399.96 3.88516
181 3405.57 3.88736
182 3411.11 3.88953
183 3416.57 3.89168
184 3421.95 3.8938
185 3427.27 3.8959
186 3432.5 3.89798
187 3437.67 3.90002
188 3442.76 3.90205
189 3447.78 3.90405
190 3452.72 3.90602
191 3457.6 3.90797
192 3462.41 3.90989
193 3467.14 3.91179
194 3471.81 3.91367
195 3476.4 3.91552
196 3480.93 3.91735
197 3485.39 3.91915
198 3489.78 3.92093
199 3494.1 3.92268
200 3498.36 3.92441
201 3502.55 3.92612
202 3506.67 3.9278
203 3510.73 3.92946
204 3514.73 3.93109
205 3518.66 3.9327
206 3522.52 3.93428
207 3526.32 3.93584
208 3530.06 3.93738
209 3533.73 3.93889
210 3537.34 3.94038
211 3540.89 3.94185
212 3544.37 3.94329
213 3547.8 3.94471
214 3551.16 3.9461
215 3554.46 3.94747
216 3557.7 3.94882
217 3560.88 3.95014
218 3564 3.95144
219 3567.06 3.95272
220 3570.06 3.95397
221 3573 3.9552
222 3575.88 3.95641
223 3578.71 3.95759
224 3581.47 3.95875
225 3584.18 3.95989
226 3586.83 3.961
227 3589.42 3.96209
228 3591.96 3.96316
229 3594.43 3.9642
230 3596.85 3.96522
231 3599.22 3.96621
232 3601.53 3.96719
233 3603.78 3.96814
234 3605.98 3.96907
235 3608.12 3.96997
236 3610.2 3.97085
237 3612.23 3.97171
238 3614.21 3.97254
239 3616.13 3.97336
240 3617.99 3.97414
241 3619.81 3.97491
242 3621.56 3.97565
243 3623.27 3.97637
244 3624.92 3.97707
245 3626.51 3.97775
246 3628.05 3.9784
247 3629.54 3.97903
248 3630.98 3.97963
249 3632.36 3.98021
250 3633.69 3.98077
251 3634.97 3.98131
252 3636.19 3.98183
253 3637.37 3.98232
254 3638.48 3.98279
255 3639.55 3.98323
256 3640.57 3.98366
257 3641.53 3.98406
258 3642.44 3.98444
259 3643.3 3.98479
260 3644.11 3.98513
261 3644.86 3.98544
262 3645.56 3.98572
263 3646.22 3.98599
264 3646.82 3.98623
265 3647.37 3.98645
266 3647.86 3.98665
267 3648.31 3.98682
268 3648.7 3.98697
269 3649.05 3.9871
270 3649.34 3.98721
271 3649.58 3.98729
272 3649.77 3.98735
273 3649.91 3.98739
274 3649.99 3.98741
275 3650.03 3.9874
276 3650.02 3.98737
277 3649.95 3.98732
278 3649.83 3.98725
279 3649.66 3.98715
280 3649.44 3.98703
281 3649.17 3.98689
282 3648.85 3.98672
283 3648.48 3.98653
284 3648.05 3.98632
285 3647.57 3.98609
286 3647.05 3.98583
287 3646.47 3.98556
288 3645.84 3.98526
289 3645.15 3.98493
290 3644.42 3.98458
291 3643.63 3.98422
292 3642.8 3.98382
293 3641.91 3.98341
294 3640.96 3.98297
295 3639.97 3.98251
296 3638.93 3.98203
297 3637.83 3.98152
298 3636.68 3.981
299 3635.47 3.98045
300 3634.22 3.97987
301 3632.91 3.97927
302 3631.55 3.97866
303 3630.13 3.97801
304 3628.67 3.97735
305 3627.15 3.97666
306 3625.57 3.97595
307 3623.94 3.97522
308 3622.26 3.97446
309 3620.53 3.97368
310 3618.74 3.97288
311 3616.89 3.97205
312 3615 3.9712
313 3613.04 3.97033
314 3611.03 3.96944
315 3608.97 3.96852
316 3606.85 3.96758
317 3604.68 3.96661
318 3602.45 3.96563
319 3600.17 3.96462
320 3597.82 3.96358
321 3595.43 3.96253
322 3592.97 3.96145
323 3590.46 3.96034
324 3587.89 3.95922
325 3585.26 3.95807
326 3582.58 3.95689
327 3579.84 3.9557
328 3577.04 3.95448
329 3574.18 3.95323
330 3571.26 3.95197
331 3568.29 3.95068
332 3565.25 3.94936
333 3562.16 3.94803
334 3559 3.94666
335 3555.79 3.94528
336 3552.51 3.94387
337 3549.17 3.94244
338 3545.77 3.94098
339 3542.31 3.9395
340 3538.79 3.938
341 3535.21 3.93647
342 3531.56 3.93492
343 3527.85 3.93335
344 3524.07 3.93175
