n	x	y	z
0 -2.98828 -0.264877 1
1 -3.0079 -0.269647 0.999958
2 -3.02741 -0.274676 0.999807
3 -3.04681 -0.279956 0.99954
4 -3.0661 -0.285481 0.999154
5 -3.08527 -0.291244 0.998644
6 -3.10431 -0.297239 0.998005
7 -3.12323 -0.303458 0.997236
8 -3.14203 -0.309896 0.996331
9 -3.16069 -0.316547 0.99529
10 -3.17923 -0.323404 0.994109
11 -3.19762 -0.330462 0.992787
12 -3.21589 -0.337714 0.991322
13 -3.23401 -0.345155 0.989712
14 -3.25199 -0.352779 0.987956
15 -3.26983 -0.360581 0.986054
16 -3.28753 -0.368556 0.984005
17 -3.30508 -0.376698 0.981807
18 -3.32249 -0.385003 0.979462
19 -3.33975 -0.393464 0.976968
20 -3.35686 -0.402079 0.974326
21 -3.37383 -0.410841 0.971536
22 -3.39064 -0.419748 0.968599
23 -3.40731 -0.428793 0.965514
24 -3.42383 -0.437973 0.962283
25 -3.44019 -0.447284 0.958905
26 -3.45641 -0.456722 0.955383
27 -3.47247 -0.466282 0.951716
28 -3.48839 -0.475962 0.947906
29 -3.50415 -0.485757 0.943954
30 -3.51976 -0.495664 0.93986
31 -3.53522 -0.505679 0.935627
32 -3.55053 -0.515799 0.931254
33 -3.56568 -0.526022 0.926744
34 -3.58069 -0.536342 0.922098
35 -3.59554 -0.546759 0.917318
36 -3.61024 -0.557268 0.912404
37 -3.6248 -0.567867 0.907358
38 -3.6392 -0.578552 0.902181
39 -3.65345 -0.589322 0.896876
40 -3.66755 -0.600174 0.891443
41 -3.6815 -0.611104 0.885884
42 -3.6953 -0.622111 0.880201
43 -3.70895 -0.633193 0.874396
44 -3.72245 -0.644346 0.868469
45 -3.7358 -0.655569 0.862423
46 -3.74901 -0.666859 0.856258
47 -3.76207 -0.678215 0.849978
48 -3.77498 -0.689633 0.843583
49 -3.78774 -0.701113 0.837075
50 -3.80035 -0.712653 0.830456
51 -3.81282 -0.72425 0.823727
52 -3.82515 -0.735902 0.81689
53 -3.83732 -0.747608 0.809947
54 -3.84936 -0.759366 0.802899
55 -3.86125 -0.771175 0.795748
56 -3.87299 -0.783032 0.788495
57 -3.88459 -0.794937 0.781143
58 -3.89605 -0.806888 0.773692
59 -3.90736 -0.818882 0.766145
60 -3.91854 -0.83092 0.758503
61 -3.92957 -0.842998 0.750767
62 -3.94046 -0.855117 0.74294
63 -3.95121 -0.867274 0.735023
64 -3.96182 -0.879469 0.727017
65 -3.97229 -0.8917 0.718923
66 -3.98262 -0.903966 0.710745
67 -3.99281 -0.916266 0.702482
68 -4.00286 -0.928598 0.694138
69 -4.01278 -0.940962 0.685712
70 -4.02255 -0.953356 0.677207
71 -4.03219 -0.96578 0.668624
72 -4.0417 -0.978231 0.659965
73 -4.05107 -0.990711 0.651231
74 -4.0603 -1.00322 0.642424
75 -4.0694 -1.01575 0.633545
76 -4.07836 -1.0283 0.624596
77 -4.08719 -1.04088 0.615577
78 -4.09589 -1.05348 0.606491
79 -4.10445 -1.06611 0.59734
80 -4.11288 -1.07875 0.588123
81 -4.12118 -1.09142 0.578843
82 -4.12935 -1.1041 0.569501
83 -4.13739 -1.1168 0.560099
84 -4.14529 -1.12952 0.550637
85 -4.15307 -1.14226 0.541118
86 -4.16071 -1.15502 0.531542
87 -4.16823 -1.16779 0.521912
88 -4.17562 -1.18057 0.512227
89 -4.18288 -1.19337 0.50249
90 -4.19001 -1.20618 0.492702
91 -4.19701 -1.21901 0.482864
92 -4.20389 -1.23185 0.472977
93 -4.21064 -1.2447 0.463043
94 -4.21727 -1.25756 0.453063
95 -4.22377 -1.27044 0.443038
96 -4.23014 -1.28332 0.432969
97 -4.23639 -1.29621 0.422858
98 -4.24252 -1.30912 0.412706
99 -4.24852 -1.32203 0.402514
100 -4.2544 -1.33495 0.392283
101 -4.26015 -1.34787 0.382015
102 -4.26578 -1.36081 0.37171
103 -4.27129 -1.37375 0.36137
104 -4.27668 -1.3867 0.350996
105 -4.28195 -1.39965 0.34059
106 -4.2871 -1.41261 0.330151
107 -4.29213 -1.42557 0.319681
108 -4.29703 -1.43854 0.309183
109 -4.30182 -1.45151 0.298655
110 -4.30649 -1.46448 0.288101
111 -4.31104 -1.47746 0.27752
112 -4.31547 -1.49044 0.266914
113 -4.31979 -1.50343 0.256284
114 -4.32398 -1.51641 0.245631
115 -4.32806 -1.5294 0.234956
116 -4.33203 -1.54239 0.22426
117 -4.33587 -1.55538 0.213544
118 -4.3396 -1.56837 0.202809
