n	x	y	z
0 3 0 0.5
1 3.0002 0.00060004 0.499999
2 3.0004 0.00120047 0.499997
3 3.00059 0.00180129 0.499994
4 3.00078 0.00240249 0.49999
5 3.00097 0.00300407 0.499984
6 3.00116 0.00360601 0.499977
7 3.00134 0.00420832 0.499969
8 3.00153 0.00481098 0.49996
9 3.00171 0.005414 0.499949
10 3.00189 0.00601736 0.499937
11 3.00206 0.00662105 0.499924
12 3.00224 0.00722508 0.499909
13 3.00241 0.00782944 0.499893
14 3.00258 0.00843411 0.499876
15 3.00275 0.0090391 0.499858
16 3.00291 0.0096444 0.499838
17 3.00307 0.01025 0.499818
18 3.00323 0.0108559 0.499795
19 3.00339 0.0114621 0.499772
20 3.00355 0.0120685 0.499747
21 3.0037 0.0126753 0.499722
22 3.00385 0.0132823 0.499694
23 3.004 0.0138896 0.499666
24 3.00415 0.0144971 0.499636
25 3.00429 0.0151049 0.499605
26 3.00443 0.015713 0.499573
27 3.00457 0.0163212 0.499539
28 3.00471 0.0169298 0.499505
29 3.00485 0.0175385 0.499469
30 3.00498 0.0181475 0.499431
31 3.00511 0.0187567 0.499393
32 3.00524 0.0193661 0.499353
33 3.00536 0.0199757 0.499312
34 3.00549 0.0205854 0.499269
35 3.00561 0.0211954 0.499226
36 3.00573 0.0218056 0.499181
37 3.00585 0.022416 0.499134
38 3.00596 0.0230265 0.499087
39 3.00607 0.0236372 0.499038
40 3.00618 0.0242481 0.498988
41 3.00629 0.0248591 0.498937
42 3.0064 0.0254703 0.498884
43 3.0065 0.0260816 0.498831
44 3.0066 0.026693 0.498776
45 3.0067 0.0273046 0.498719
46 3.0068 0.0279163 0.498662
47 3.00689 0.0285281 0.498603
48 3.00698 0.0291401 0.498542
49 3.00707 0.0297521 0.498481
50 3.00716 0.0303643 0.498418
51 3.00724 0.0309765 0.498354
52 3.00733 0.0315889 0.498289
53 3.00741 0.0322013 0.498223
54 3.00748 0.0328138 0.498155
55 3.00756 0.0334263 0.498086
56 3.00763 0.034039 0.498016
57 3.00771 0.0346517 0.497944
58 3.00777 0.0352644 0.497871
59 3.00784 0.0358772 0.497797
60 3.00791 0.03649 0.497722
61 3.00797 0.0371029 0.497645
62 3.00803 0.0377158 0.497567
63 3.00808 0.0383287 0.497488
64 3.00814 0.0389417 0.497407
65 3.00819 0.0395546 0.497326
66 3.00824 0.0401676 0.497243
67 3.00829 0.0407805 0.497158
68 3.00834 0.0413935 0.497073
69 3.00838 0.0420064 0.496986
70 3.00842 0.0426193 0.496898
71 3.00846 0.0432322 0.496809
72 3.0085 0.0438451 0.496718
73 3.00853 0.0444579 0.496626
74 3.00857 0.0450707 0.496533
75 3.0086 0.0456834 0.496439
76 3.00862 0.0462961 0.496343
77 3.00865 0.0469087 0.496246
78 3.00867 0.0475212 0.496148
79 3.00869 0.0481337 0.496049
80 3.00871 0.0487461 0.495948
81 3.00873 0.0493584 0.495846
82 3.00874 0.0499706 0.495743
83 3.00875 0.0505828 0.495638
84 3.00876 0.0511948 0.495533
85 3.00877 0.0518067 0.495426
86 3.00878 0.0524185 0.495318
87 3.00878 0.0530301 0.495208
88 3.00878 0.0536417 0.495097
89 3.00878 0.0542531 0.494985
90 3.00877 0.0548644 0.494872
91 3.00877 0.0554755 0.494757
92 3.00876 0.0560865 0.494642
93 3.00875 0.0566973 0.494525
94 3.00873 0.0573079 0.494406
95 3.00872 0.0579184 0.494287
96 3.0087 0.0585287 0.494166
97 3.00868 0.0591389 0.494044
98 3.00866 0.0597488 0.49392
99 3.00863 0.0603586 0.493796
100 3.0086 0.0609681 0.49367
101 3.00857 0.0615775 0.493543
102 3.00854 0.0621866 0.493415
