n	x	y	z
0 1.48442 -2.60701 0.5
1 1.48573 -2.6081 0.499999
2 1.48704 -2.60919 0.499997
3 1.48836 -2.61028 0.499994
4 1.48968 -2.61136 0.49999
5 1.491 -2.61244 0.499984
6 1.49232 -2.61351 0.499977
7 1.49364 -2.61458 0.499969
8 1.49496 -2.61565 0.499959
9 1.49629 -2.61672 0.499949
10 1.49762 -2.61778 0.499936
11 1.49895 -2.61883 0.499923
12 1.50028 -2.61989 0.499908
13 1.50161 -2.62094 0.499892
14 1.50294 -2.62198 0.499875
15 1.50427 -2.62302 0.499856
16 1.50561 -2.62406 0.499836
17 1.50695 -2.6251 0.499815
18 1.50829 -2.62613 0.499793
19 1.50963 -2.62716 0.499769
20 1.51097 -2.62819 0.499744
21 1.51231 -2.62921 0.499717
22 1.51366 -2.63022 0.499689
23 1.515 -2.63124 0.49966
24 1.51635 -2.63225 0.49963
25 1.5177 -2.63326 0.499598
26 1.51905 -2.63426 0.499565
27 1.5204 -2.63526 0.49953
28 1.52175 -2.63626 0.499495
29 1.5231 -2.63725 0.499457
30 1.52446 -2.63824 0.499419
31 1.52582 -2.63923 0.499379
32 1.52717 -2.64021 0.499338
33 1.52853 -2.64119 0.499295
34 1.52989 -2.64216 0.499251
35 1.53125 -2.64313 0.499206
36 1.53262 -2.6441 0.49916
37 1.53398 -2.64507 0.499112
38 1.53535 -2.64603 0.499062
39 1.53671 -2.64699 0.499012
40 1.53808 -2.64794 0.49896
41 1.53945 -2.64889 0.498906
42 1.54082 -2.64984 0.498851
43 1.54219 -2.65078 0.498795
44 1.54356 -2.65172 0.498738
45 1.54493 -2.65266 0.498679
46 1.54631 -2.65359 0.498619
47 1.54768 -2.65452 0.498557
48 1.54906 -2.65544 0.498494
49 1.55044 -2.65637 0.498429
50 1.55181 -2.65728 0.498364
51 1.55319 -2.6582 0.498296
52 1.55457 -2.65911 0.498228
53 1.55596 -2.66002 0.498158
54 1.55734 -2.66092 0.498087
55 1.55872 -2.66182 0.498014
56 1.56011 -2.66272 0.49794
57 1.56149 -2.66362 0.497864
58 1.56288 -2.66451 0.497787
59 1.56427 -2.66539 0.497709
60 1.56565 -2.66628 0.497629
61 1.56704 -2.66716 0.497548
62 1.56843 -2.66803 0.497466
63 1.56983 -2.6689 0.497382
64 1.57122 -2.66977 0.497296
65 1.57261 -2.67064 0.49721
66 1.574 -2.6715 0.497121
67 1.5754 -2.67236 0.497032
68 1.5768 -2.67321 0.496941
69 1.57819 -2.67407 0.496849
70 1.57959 -2.67491 0.496755
71 1.58099 -2.67576 0.49666
72 1.58239 -2.6766 0.496563
73 1.58379 -2.67744 0.496465
74 1.58519 -2.67827 0.496365
75 1.58659 -2.6791 0.496265
76 1.58799 -2.67993 0.496162
77 1.58939 -2.68075 0.496059
78 1.5908 -2.68157 0.495954
79 1.5922 -2.68239 0.495847
80 1.59361 -2.6832 0.495739
81 1.59502 -2.68401 0.49563
82 1.59642 -2.68481 0.495519
83 1.59783 -2.68562 0.495407
84 1.59924 -2.68642 0.495293
85 1.60065 -2.68721 0.495178
86 1.60206 -2.688 0.495061
87 1.60347 -2.68879 0.494943
88 1.60488 -2.68958 0.494824
89 1.60629 -2.69036 0.494703
90 1.6077 -2.69113 0.494581
91 1.60912 -2.69191 0.494457
92 1.61053 -2.69268 0.494332
93 1.61194 -2.69345 0.494206
94 1.61336 -2.69421 0.494078
95 1.61477 -2.69497 0.493948
96 1.61619 -2.69573 0.493817
97 1.61761 -2.69648 0.493685
98 1.61903 -2.69723 0.493551
99 1.62044 -2.69798 0.493416
100 1.62186 -2.69872 0.49328
101 1.62328 -2.69946 0.493142
102 1.6247 -2.7002 0.493002
103 1.62612 -2.70093 0.492861
104 1.62754 -2.70166 0.492719
105 1.62896 -2.70238 0.492575
106 1.63038 -2.70311 0.49243
107 1.63181 -2.70382 0.492283
108 1.63323 -2.70454 0.492135
109 1.63465 -2.70525 0.491986
110 1.63608 -2.70596 0.491835
111 1.6375 -2.70667 0.491682
112 1.63893 -2.70737 0.491529
113 1.64035 -2.70806 0.491373
114 1.64178 -2.70876 0.491216
115 1.6432 -2.70945 0.491058
116 1.64463 -2.71014 0.490899
117 1.64606 -2.71082 0.490738
118 1.64748 -2.7115 0.490575
119 1.64891 -2.71218 0.490411
120 1.65034 -2.71285 0.490246
121 1.65177 -2.71353 0.490079
122 1.6532 -2.71419 0.489911
123 1.65462 -2.71486 0.489741
124 1.65605 -2.71552 0.48957
125 1.65748 -2.71617 0.489397
126 1.65891 -2.71683 0.489223
127 1.66034 -2.71748 0.489047
128 1.66178 -2.71812 0.48887
129 1.66321 -2.71877 0.488692
130 1.66464 -2.71941 0.488512
131 1.66607 -2.72004 0.488331
132 1.6675 -2.72068 0.488148
133 1.66893 -2.72131 0.487964
134 1.67037 -2.72193 0.487778
135 1.6718 -2.72255 0.487591
136 1.67323 -2.72317 0.487403
137 1.67467 -2.72379 0.487213
138 1.6761 -2.7244 0.487021
139 1.67753 -2.72501 0.486829
140 1.67897 -2.72562 0.486634
141 1.6804 -2.72622 0.486439
142 1.68184 -2.72682 0.486241
143 1.68327 -2.72742 0.486043
144 1.68471 -2.72801 0.485843
145 1.68614 -2.7286 0.485641
146 1.68758 -2.72918 0.485438
147 1.68901 -2.72976 0.485234
148 1.69045 -2.73034 0.485028
149 1.69188 -2.73092 0.484821
150 1.69332 -2.73149 0.484612
151 1.69476 -2.73206 0.484402
152 1.69619 -2.73263 0.48419
153 1.69763 -2.73319 0.483977
154 1.69907 -2.73375 0.483763
155 1.7005 -2.7343 0.483547
156 1.70194 -2.73485 0.48333
157 1.70338 -2.7354 0.483111
158 1.70481 -2.73595 0.482891
159 1.70625 -2.73649 0.482669
160 1.70769 -2.73703 0.482446
161 1.70912 -2.73756 0.482221
162 1.71056 -2.7381 0.481995
163 1.712 -2.73863 0.481768
164 1.71344 -2.73915 0.481539
165 1.71487 -2.73967 0.481309
166 1.71631 -2.74019 0.481077
167 1.71775 -2.74071 0.480844
168 1.71918 -2.74122 0.480609
169 1.72062 -2.74173 0.480373
170 1.72206 -2.74223 0.480136
171 1.7235 -2.74274 0.479897
172 1.72493 -2.74324 0.479657
173 1.72637 -2.74373 0.479415
174 1.72781 -2.74422 0.479172
175 1.72925 -2.74471 0.478927
176 1.73068 -2.7452 0.478681
177 1.73212 -2.74568 0.478434
178 1.73356 -2.74616 0.478185
179 1.735 -2.74664 0.477934
180 1.73643 -2.74711 0.477683
181 1.73787 -2.74758 0.47743
182 1.73931 -2.74804 0.477175
183 1.74074 -2.74851 0.476919
184 1.74218 -2.74897 0.476662
185 1.74362 -2.74942 0.476403
186 1.74505 -2.74988 0.476142
187 1.74649 -2.75033 0.475881
188 1.74793 -2.75077 0.475618
189 1.74936 -2.75122 0.475353
190 1.7508 -2.75166 0.475087
191 1.75223 -2.75209 0.47482
192 1.75367 -2.75253 0.474551
193 1.7551 -2.75296 0.474281
194 1.75654 -2.75338 0.474009
195 1.75798 -2.75381 0.473736
196 1.75941 -2.75423 0.473462
197 1.76085 -2.75465 0.473186
198 1.76228 -2.75506 0.472908
199 1.76371 -2.75547 0.47263
200 1.76515 -2.75588 0.47235
201 1.76658 -2.75628 0.472068
202 1.76802 -2.75669 0.471785
203 1.76945 -2.75708 0.471501
204 1.77088 -2.75748 0.471215
205 1.77232 -2.75787 0.470928
206 1.77375 -2.75826 0.470639
207 1.77518 -2.75864 0.47035
208 1.77662 -2.75903 0.470058
209 1.77805 -2.75941 0.469765
210 1.77948 -2.75978 0.469471
211 1.78091 -2.76015 0.469176
212 1.78234 -2.76052 0.468879
213 1.78377 -2.76089 0.46858
214 1.78521 -2.76125 0.468281
215 1.78664 -2.76161 0.467979
216 1.78807 -2.76197 0.467677
217 1.7895 -2.76232 0.467373
218 1.79093 -2.76267 0.467068
219 1.79235 -2.76302 0.466761
220 1.79378 -2.76336 0.466453
221 1.79521 -2.7637 0.466143
222 1.79664 -2.76404 0.465832
223 1.79807 -2.76438 0.46552
224 1.7995 -2.76471 0.465206
225 1.80092 -2.76504 0.464891
226 1.80235 -2.76536 0.464575
227 1.80378 -2.76568 0.464257
228 1.8052 -2.766 0.463938
229 1.80663 -2.76632 0.463617
230 1.80805 -2.76663 0.463295
231 1.80948 -2.76694 0.462972
232 1.8109 -2.76724 0.462647
233 1.81233 -2.76755 0.462321
234 1.81375 -2.76785 0.461994
235 1.81518 -2.76814 0.461665
236 1.8166 -2.76844 0.461335
237 1.81802 -2.76873 0.461003
238 1.81944 -2.76902 0.46067
239 1.82087 -2.7693 0.460336
240 1.82229 -2.76958 0.46
241 1.82371 -2.76986 0.459663
242 1.82513 -2.77014 0.459324
243 1.82655 -2.77041 0.458985
244 1.82797 -2.77068 0.458644
245 1.82939 -2.77094 0.458301
246 1.8308 -2.77121 0.457957
247 1.83222 -2.77147 0.457612
248 1.83364 -2.77172 0.457265
249 1.83506 -2.77198 0.456917
250 1.83647 -2.77223 0.456568
251 1.83789 -2.77247 0.456217
252 1.8393 -2.77272 0.455865
253 1.84072 -2.77296 0.455512
254 1.84213 -2.7732 0.455157
255 1.84355 -2.77343 0.454801
256 1.84496 -2.77366 0.454443
257 1.84637 -2.77389 0.454085
258 1.84779 -2.77412 0.453725
259 1.8492 -2.77434 0.453363
260 1.85061 -2.77456 0.453
261 1.85202 -2.77478 0.452636
262 1.85343 -2.77499 0.452271
263 1.85484 -2.7752 0.451904
264 1.85625 -2.77541 0.451536
265 1.85766 -2.77562 0.451166
266 1.85907 -2.77582 0.450795
267 1.86047 -2.77602 0.450423
268 1.86188 -2.77621 0.450049
269 1.86329 -2.7764 0.449675
270 1.86469 -2.77659 0.449298
271 1.8661 -2.77678 0.448921
272 1.8675 -2.77696 0.448542
273 1.8689 -2.77714 0.448162
274 1.87031 -2.77732 0.44778
275 1.87171 -2.7775 0.447398
276 1.87311 -2.77767 0.447013
277 1.87451 -2.77784 0.446628
278 1.87591 -2.778 0.446241
279 1.87731 -2.77816 0.445853
280 1.87871 -2.77832 0.445464
281 1.88011 -2.77848 0.445073
282 1.88151 -2.77863 0.444681
283 1.8829 -2.77879 0.444287
284 1.8843 -2.77893 0.443893
285 1.8857 -2.77908 0.443497
286 1.88709 -2.77922 0.4431
287 1.88849 -2.77936 0.442701
288 1.88988 -2.77949 0.442301
289 1.89127 -2.77963 0.4419
290 1.89266 -2.77976 0.441497
291 1.89406 -2.77988 0.441094
292 1.89545 -2.78001 0.440689
293 1.89684 -2.78013 0.440282
294 1.89823 -2.78025 0.439874
295 1.89961 -2.78036 0.439465
296 1.901 -2.78047 0.439055
297 1.90239 -2.78058 0.438644
298 1.90378 -2.78069 0.438231
299 1.90516 -2.78079 0.437817
300 1.90655 -2.78089 0.437401
301 1.90793 -2.78099 0.436985
302 1.90931 -2.78109 0.436567
303 1.9107 -2.78118 0.436147
304 1.91208 -2.78127 0.435727
305 1.91346 -2.78135 0.435305
306 1.91484 -2.78144 0.434882
307 1.91622 -2.78152 0.434457
308 1.9176 -2.78159 0.434032
309 1.91898 -2.78167 0.433605
310 1.92035 -2.78174 0.433177
311 1.92173 -2.78181 0.432747
312 1.9231 -2.78187 0.432316
313 1.92448 -2.78194 0.431884
314 1.92585 -2.782 0.431451
315 1.92723 -2.78205 0.431016
316 1.9286 -2.78211 0.430581
317 1.92997 -2.78216 0.430144
318 1.93134 -2.78221 0.429705
319 1.93271 -2.78225 0.429266
320 1.93408 -2.78229 0.428825
321 1.93545 -2.78233 0.428383
322 1.93681 -2.78237 0.427939
323 1.93818 -2.78241 0.427495
324 1.93955 -2.78244 0.427049
325 1.94091 -2.78247 0.426602
326 1.94227 -2.78249 0.426154
327 1.94364 -2.78251 0.425704
328 1.945 -2.78253 0.425253
329 1.94636 -2.78255 0.424801
330 1.94772 -2.78256 0.424348
331 1.94908 -2.78258 0.423893
332 1.95044 -2.78258 0.423438
333 1.95179 -2.78259 0.422981
334 1.95315 -2.78259 0.422522
335 1.95451 -2.78259 0.422063
336 1.95586 -2.78259 0.421602
337 1.95721 -2.78258 0.42114
338 1.95857 -2.78258 0.420677
339 1.95992 -2.78256 0.420213
340 1.96127 -2.78255 0.419747
341 1.96262 -2.78253 0.41928
342 1.96397 -2.78251 0.418812
343 1.96532 -2.78249 0.418343
344 1.96666 -2.78247 0.417873
345 1.96801 -2.78244 0.417401
346 1.96935 -2.78241 0.416928
347 1.9707 -2.78237 0.416454
348 1.97204 -2.78234 0.415979
349 1.97338 -2.7823 0.415502
350 1.97473 -2.78226 0.415024
351 1.97607 -2.78221 0.414546
352 1.9774 -2.78216 0.414065
353 1.97874 -2.78211 0.413584
354 1.98008 -2.78206 0.413102
355 1.98142 -2.782 0.412618
356 1.98275 -2.78195 0.412133
357 1.98409 -2.78188 0.411647
358 1.98542 -2.78182 0.41116
359 1.98675 -2.78175 0.410671
360 1.98808 -2.78168 0.410181
361 1.98941 -2.78161 0.409691
362 1.99074 -2.78154 0.409198
363 1.99207 -2.78146 0.408705
364 1.9934 -2.78138 0.408211
365 1.99472 -2.78129 0.407715
366 1.99605 -2.78121 0.407218
367 1.99737 -2.78112 0.406721
368 1.9987 -2.78103 0.406221
369 2.00002 -2.78093 0.405721
370 2.00134 -2.78084 0.40522
371 2.00266 -2.78074 0.404717
372 2.00398 -2.78063 0.404213
373 2.00529 -2.78053 0.403708
374 2.00661 -2.78042 0.403202
375 2.00793 -2.78031 0.402695
376 2.00924 -2.7802 0.402186
377 2.01055 -2.78008 0.401677
378 2.01187 -2.77996 0.401166
379 2.01318 -2.77984 0.400654
380 2.01449 -2.77972 0.400141
381 2.0158 -2.77959 0.399627
382 2.0171 -2.77946 0.399111
383 2.01841 -2.77933 0.398595
384 2.01971 -2.7792 0.398077
385 2.02102 -2.77906 0.397558
386 2.02232 -2.77892 0.397038
387 2.02362 -2.77877 0.396517
388 2.02493 -2.77863 0.395995
389 2.02623 -2.77848 0.395472
390 2.02752 -2.77833 0.394947
391 2.02882 -2.77818 0.394422
392 2.03012 -2.77802 0.393895
393 2.03141 -2.77786 0.393367
394 2.03271 -2.7777 0.392838
395 2.034 -2.77754 0.392308
396 2.03529 -2.77737 0.391777
397 2.03658 -2.7772 0.391244
398 2.03787 -2.77703 0.390711
399 2.03916 -2.77685 0.390176
400 2.04045 -2.77668 0.38964
401 2.04173 -2.7765 0.389103
402 2.04302 -2.77631 0.388565
403 2.0443 -2.77613 0.388026
404 2.04558 -2.77594 0.387486
405 2.04686 -2.77575 0.386945
406 2.04814 -2.77556 0.386402
407 2.04942 -2.77536 0.385859
408 2.0507 -2.77516 0.385314
409 2.05198 -2.77496 0.384769
410 2.05325 -2.77476 0.384222
411 2.05453 -2.77455 0.383674
412 2.0558 -2.77434 0.383125
413 2.05707 -2.77413 0.382575
414 2.05834 -2.77392 0.382023
415 2.05961 -2.7737 0.381471
416 2.06088 -2.77348 0.380918
417 2.06214 -2.77326 0.380363
418 2.06341 -2.77304 0.379808
419 2.06467 -2.77281 0.379251
420 2.06593 -2.77258 0.378694
421 2.0672 -2.77235 0.378135
422 2.06846 -2.77212 0.377575
423 2.06971 -2.77188 0.377014
424 2.07097 -2.77164 0.376452
425 2.07223 -2.7714 0.375889
426 2.07348 -2.77115 0.375325
427 2.07474 -2.7709 0.37476
428 2.07599 -2.77065 0.374193
429 2.07724 -2.7704 0.373626
430 2.07849 -2.77015 0.373058
431 2.07974 -2.76989 0.372488
432 2.08099 -2.76963 0.371918
433 2.08223 -2.76937 0.371346
434 2.08348 -2.7691 0.370773
435 2.08472 -2.76883 0.3702
436 2.08596 -2.76856 0.369625
437 2.0872 -2.76829 0.369049
438 2.08844 -2.76801 0.368473
439 2.08968 -2.76774 0.367895
440 2.09092 -2.76746 0.367316
441 2.09215 -2.76717 0.366736
442 2.09339 -2.76689 0.366155
443 2.09462 -2.7666 0.365573
444 2.09585 -2.76631 0.36499
445 2.09708 -2.76602 0.364406
446 2.09831 -2.76572 0.363821
447 2.09954 -2.76542 0.363235
448 2.10076 -2.76512 0.362647
449 2.10199 -2.76482 0.362059
450 2.10321 -2.76451 0.36147
451 2.10443 -2.7642 0.36088
452 2.10566 -2.76389 0.360289
453 2.10687 -2.76358 0.359696
454 2.10809 -2.76327 0.359103
455 2.10931 -2.76295 0.358509
456 2.11052 -2.76263 0.357913
457 2.11174 -2.7623 0.357317
458 2.11295 -2.76198 0.35672
459 2.11416 -2.76165 0.356121
460 2.11537 -2.76132 0.355522
461 2.11658 -2.76099 0.354922
462 2.11779 -2.76065 0.35432
463 2.11899 -2.76031 0.353718
464 2.12019 -2.75997 0.353115
465 2.1214 -2.75963 0.352511
466 2.1226 -2.75929 0.351905
467 2.1238 -2.75894 0.351299
468 2.125 -2.75859 0.350692
469 2.12619 -2.75824 0.350083
470 2.12739 -2.75788 0.349474
471 2.12858 -2.75752 0.348864
472 2.12978 -2.75716 0.348253
473 2.13097 -2.7568 0.34764
474 2.13216 -2.75644 0.347027
475 2.13334 -2.75607 0.346413
476 2.13453 -2.7557 0.345798
477 2.13572 -2.75533 0.345182
478 2.1369 -2.75495 0.344565
479 2.13808 -2.75458 0.343947
480 2.13926 -2.7542 0.343328
481 2.14044 -2.75382 0.342708
482 2.14162 -2.75343 0.342087
483 2.1428 -2.75304 0.341465
484 2.14397 -2.75266 0.340842
485 2.14515 -2.75226 0.340219
486 2.14632 -2.75187 0.339594
487 2.14749 -2.75147 0.338968
488 2.14866 -2.75108 0.338342
489 2.14983 -2.75067 0.337714
490 2.15099 -2.75027 0.337085
491 2.15216 -2.74987 0.336456
492 2.15332 -2.74946 0.335826
493 2.15448 -2.74905 0.335194
494 2.15564 -2.74863 0.334562
495 2.1568 -2.74822 0.333929
496 2.15796 -2.7478 0.333295
497 2.15911 -2.74738 0.332659
498 2.16027 -2.74696 0.332023
499 2.16142 -2.74653 0.331387
