n	x	y	z
0 -3 0.00477796 0.5
1 -3.00589 -0.00122444 0.499937
2 -3.01156 -0.00734234 0.499747
3 -3.017 -0.0135691 0.499428
4 -3.0222 -0.019898 0.49898
5 -3.02717 -0.0263226 0.498402
6 -3.0319 -0.0328362 0.497694
7 -3.0364 -0.0394323 0.496854
8 -3.04065 -0.0461044 0.495883
9 -3.04466 -0.0528462 0.494779
10 -3.04843 -0.0596512 0.493543
11 -3.05195 -0.0665131 0.492175
12 -3.05523 -0.0734255 0.490675
13 -3.05826 -0.0803821 0.489042
14 -3.06105 -0.0873768 0.487277
15 -3.06358 -0.0944034 0.485381
16 -3.06587 -0.101456 0.483353
17 -3.06792 -0.108527 0.481194
18 -3.06971 -0.115613 0.478905
19 -3.07126 -0.122706 0.476486
20 -3.07256 -0.1298 0.473939
21 -3.07361 -0.13689 0.471263
22 -3.07441 -0.143969 0.46846
23 -3.07497 -0.151032 0.46553
24 -3.07527 -0.158073 0.462476
25 -3.07534 -0.165086 0.459297
26 -3.07515 -0.172066 0.455996
27 -3.07473 -0.179006 0.452573
28 -3.07406 -0.185901 0.449029
29 -3.07315 -0.192745 0.445367
30 -3.07199 -0.199532 0.441587
31 -3.0706 -0.206258 0.437692
32 -3.06897 -0.212915 0.433682
33 -3.0671 -0.2195 0.429559
34 -3.065 -0.226006 0.425326
35 -3.06266 -0.232428 0.420984
36 -3.06009 -0.23876 0.416534
37 -3.0573 -0.244997 0.41198
38 -3.05428 -0.251133 0.407322
39 -3.05103 -0.257164 0.402563
40 -3.04756 -0.263084 0.397704
41 -3.04387 -0.268888 0.392749
42 -3.03997 -0.27457 0.387699
43 -3.03586 -0.280126 0.382557
44 -3.03153 -0.28555 0.377325
45 -3.027 -0.290837 0.372005
46 -3.02226 -0.295982 0.366599
47 -3.01733 -0.30098 0.361111
48 -3.0122 -0.305826 0.355543
49 -3.00688 -0.310516 0.349897
50 -3.00138 -0.315044 0.344176
51 -2.99569 -0.319406 0.338382
52 -2.98982 -0.323598 0.332519
53 -2.98379 -0.327614 0.326589
54 -2.97759 -0.33145 0.320595
55 -2.97122 -0.335102 0.31454
56 -2.9647 -0.338565 0.308427
57 -2.95804 -0.341836 0.302258
58 -2.95123 -0.34491 0.296037
59 -2.94428 -0.347783 0.289766
60 -2.93721 -0.350452 0.283448
61 -2.93001 -0.352913 0.277087
62 -2.9227 -0.355162 0.270686
63 -2.91529 -0.357196 0.264247
64 -2.90778 -0.359011 0.257773
65 -2.90017 -0.360606 0.251268
66 -2.89249 -0.361976 0.244734
67 -2.88474 -0.36312 0.238175
68 -2.87692 -0.364035 0.231593
69 -2.86906 -0.364719 0.224992
70 -2.86115 -0.365171 0.218374
71 -2.85321 -0.365387 0.211742
72 -2.84525 -0.365368 0.205099
73 -2.83729 -0.365112 0.198448
74 -2.82933 -0.364618 0.191791
