n	x	y	z
0 3 0 0.5
1 3.0006 0.00060012 0.499999
2 3.0012 0.00120143 0.499997
3 3.00179 0.00180391 0.499994
4 3.00238 0.00240757 0.49999
5 3.00297 0.0030124 0.499984
6 3.00356 0.00361838 0.499977
7 3.00414 0.00422552 0.499969
8 3.00473 0.00483381 0.49996
9 3.00531 0.00544323 0.499949
10 3.00589 0.00605379 0.499937
11 3.00646 0.00666547 0.499923
12 3.00704 0.00727828 0.499909
13 3.00761 0.0078922 0.499893
14 3.00818 0.00850722 0.499876
15 3.00874 0.00912334 0.499858
16 3.00931 0.00974056 0.499838
17 3.00987 0.0103589 0.499817
18 3.01043 0.0109783 0.499795
19 3.01099 0.0115987 0.499771
20 3.01154 0.0122202 0.499746
21 3.0121 0.0128428 0.49972
22 3.01265 0.0134665 0.499693
23 3.0132 0.0140911 0.499664
24 3.01374 0.0147169 0.499634
25 3.01429 0.0153436 0.499603
26 3.01483 0.0159714 0.499571
27 3.01537 0.0166002 0.499537
28 3.0159 0.01723 0.499502
29 3.01644 0.0178609 0.499465
30 3.01697 0.0184927 0.499428
31 3.0175 0.0191255 0.499389
32 3.01803 0.0197593 0.499348
33 3.01855 0.0203941 0.499307
34 3.01908 0.0210299 0.499264
35 3.0196 0.0216666 0.49922
36 3.02012 0.0223043 0.499174
37 3.02063 0.022943 0.499128
38 3.02114 0.0235826 0.49908
39 3.02166 0.0242231 0.49903
40 3.02216 0.0248646 0.49898
41 3.02267 0.025507 0.498928
42 3.02317 0.0261503 0.498874
43 3.02368 0.0267945 0.49882
44 3.02418 0.0274397 0.498764
45 3.02467 0.0280857 0.498707
46 3.02517 0.0287327 0.498648
47 3.02566 0.0293805 0.498589
48 3.02615 0.0300293 0.498528
49 3.02664 0.0306788 0.498465
50 3.02712 0.0313293 0.498402
51 3.0276 0.0319806 0.498337
52 3.02809 0.0326328 0.49827
53 3.02856 0.0332859 0.498203
54 3.02904 0.0339397 0.498134
55 3.02951 0.0345945 0.498064
56 3.02998 0.03525 0.497992
57 3.03045 0.0359064 0.497919
58 3.03092 0.0365636 0.497845
59 3.03138 0.0372216 0.49777
60 3.03184 0.0378804 0.497693
61 3.0323 0.03854 0.497615
62 3.03276 0.0392004 0.497535
63 3.03321 0.0398616 0.497455
64 3.03366 0.0405235 0.497373
65 3.03411 0.0411863 0.497289
66 3.03456 0.0418498 0.497205
67 3.035 0.042514 0.497119
68 3.03545 0.043179 0.497031
69 3.03589 0.0438448 0.496943
70 3.03632 0.0445113 0.496853
71 3.03676 0.0451785 0.496762
72 3.03719 0.0458465 0.496669
73 3.03762 0.0465152 0.496575
74 3.03805 0.0471845 0.49648
75 3.03847 0.0478547 0.496384
76 3.0389 0.0485255 0.496286
77 3.03932 0.049197 0.496187
78 3.03974 0.0498691 0.496086
79 3.04015 0.050542 0.495984
80 3.04056 0.0512156 0.495881
81 3.04097 0.0518898 0.495777
82 3.04138 0.0525647 0.495671
83 3.04179 0.0532402 0.495564
84 3.04219 0.0539164 0.495456
85 3.04259 0.0545932 0.495346
86 3.04299 0.0552707 0.495235
87 3.04339 0.0559488 0.495123
88 3.04378 0.0566275 0.495009
89 3.04417 0.0573069 0.494894
90 3.04456 0.0579868 0.494778
91 3.04495 0.0586674 0.49466
92 3.04533 0.0593486 0.494541
93 3.04571 0.0600303 0.494421
94 3.04609 0.0607127 0.494299
95 3.04647 0.0613956 0.494176
96 3.04685 0.0620791 0.494052
97 3.04722 0.0627632 0.493926
98 3.04759 0.0634478 0.493799
99 3.04795 0.064133 0.493671
100 3.04832 0.0648187 0.493542
101 3.04868 0.065505 0.493411
102 3.04904 0.0661918 0.493279
103 3.0494 0.0668791 0.493145
104 3.04975 0.067567 0.49301
105 3.0501 0.0682554 0.492874
106 3.05045 0.0689443 0.492737
107 3.0508 0.0696337 0.492598
108 3.05115 0.0703236 0.492458
109 3.05149 0.071014 0.492316
110 3.05183 0.0717049 0.492173
111 3.05217 0.0723962 0.492029
112 3.0525 0.073088 0.491884
113 3.05283 0.0737803 0.491737
114 3.05316 0.0744731 0.491589
115 3.05349 0.0751663 0.49144
116 3.05382 0.07586 0.491289
117 3.05414 0.0765541 0.491137
118 3.05446 0.0772486 0.490984
119 3.05478 0.0779436 0.490829
120 3.05509 0.078639 0.490673
121 3.05541 0.0793348 0.490516
122 3.05572 0.080031 0.490357
