n	x	y	z
0 -3 0.00477796 0.5
1 -3.0006 0.00417879 0.499999
2 -3.00119 0.00357844 0.499997
3 -3.00179 0.0029769 0.499994
4 -3.00238 0.00237418 0.49999
5 -3.00297 0.0017703 0.499984
6 -3.00356 0.00116525 0.499977
7 -3.00415 0.000559044 0.499969
8 -3.00473 -4.83124e-05 0.49996
9 -3.00531 -0.000656812 0.499949
10 -3.00589 -0.00126645 0.499937
11 -3.00647 -0.00187721 0.499923
12 -3.00704 -0.0024891 0.499909
13 -3.00762 -0.00310211 0.499893
14 -3.00819 -0.00371623 0.499876
15 -3.00875 -0.00433145 0.499858
16 -3.00932 -0.00494777 0.499838
17 -3.00988 -0.00556517 0.499817
18 -3.01044 -0.00618366 0.499795
19 -3.011 -0.00680323 0.499771
20 -3.01156 -0.00742387 0.499746
21 -3.01211 -0.00804558 0.49972
22 -3.01267 -0.00866834 0.499693
23 -3.01322 -0.00929215 0.499664
24 -3.01376 -0.009917 0.499634
25 -3.01431 -0.0105429 0.499603
26 -3.01485 -0.0111698 0.499571
27 -3.01539 -0.0117978 0.499537
28 -3.01593 -0.0124267 0.499502
29 -3.01646 -0.0130567 0.499465
30 -3.017 -0.0136877 0.499428
31 -3.01753 -0.0143197 0.499389
32 -3.01806 -0.0149526 0.499348
33 -3.01858 -0.0155866 0.499307
34 -3.01911 -0.0162215 0.499264
35 -3.01963 -0.0168574 0.49922
36 -3.02015 -0.0174943 0.499174
37 -3.02066 -0.0181321 0.499128
38 -3.02118 -0.0187709 0.49908
39 -3.02169 -0.0194106 0.49903
40 -3.0222 -0.0200513 0.49898
41 -3.02271 -0.0206929 0.498928
42 -3.02321 -0.0213354 0.498874
43 -3.02372 -0.0219788 0.49882
44 -3.02422 -0.0226232 0.498764
45 -3.02471 -0.0232685 0.498707
46 -3.02521 -0.0239146 0.498648
47 -3.0257 -0.0245617 0.498589
48 -3.02619 -0.0252096 0.498528
49 -3.02668 -0.0258584 0.498465
50 -3.02717 -0.0265081 0.498402
51 -3.02765 -0.0271587 0.498337
52 -3.02813 -0.0278101 0.49827
53 -3.02861 -0.0284624 0.498203
54 -3.02909 -0.0291155 0.498134
55 -3.02956 -0.0297695 0.498064
56 -3.03003 -0.0304243 0.497992
57 -3.0305 -0.0310799 0.497919
58 -3.03097 -0.0317363 0.497845
59 -3.03144 -0.0323936 0.49777
60 -3.0319 -0.0330517 0.497693
61 -3.03236 -0.0337105 0.497615
62 -3.03282 -0.0343702 0.497535
63 -3.03327 -0.0350307 0.497455
64 -3.03372 -0.0356919 0.497373
65 -3.03417 -0.0363539 0.497289
66 -3.03462 -0.0370167 0.497205
67 -3.03507 -0.0376802 0.497119
68 -3.03551 -0.0383446 0.497031
69 -3.03595 -0.0390096 0.496943
70 -3.03639 -0.0396754 0.496853
71 -3.03683 -0.040342 0.496762
72 -3.03726 -0.0410092 0.496669
73 -3.03769 -0.0416772 0.496575
74 -3.03812 -0.0423459 0.49648
75 -3.03855 -0.0430154 0.496384
76 -3.03897 -0.0436855 0.496286
77 -3.03939 -0.0443563 0.496187
78 -3.03981 -0.0450278 0.496086
79 -3.04023 -0.0457001 0.495984
80 -3.04064 -0.0463729 0.495881
81 -3.04105 -0.0470465 0.495777
82 -3.04146 -0.0477207 0.495671
83 -3.04187 -0.0483956 0.495564
84 -3.04227 -0.0490712 0.495456
85 -3.04268 -0.0497474 0.495346
86 -3.04308 -0.0504242 0.495235
87 -3.04347 -0.0511017 0.495123
88 -3.04387 -0.0517798 0.495009
89 -3.04426 -0.0524585 0.494894
90 -3.04465 -0.0531378 0.494778
91 -3.04504 -0.0538178 0.49466
92 -3.04542 -0.0544983 0.494541
93 -3.04581 -0.0551795 0.494421
94 -3.04619 -0.0558612 0.494299
95 -3.04656 -0.0565435 0.494176
96 -3.04694 -0.0572264 0.494052
97 -3.04731 -0.0579099 0.493926
98 -3.04768 -0.058594 0.493799
99 -3.04805 -0.0592786 0.493671
100 -3.04842 -0.0599637 0.493542
101 -3.04878 -0.0606494 0.493411
102 -3.04914 -0.0613357 0.493279
103 -3.0495 -0.0620224 0.493145
104 -3.04986 -0.0627097 0.49301
105 -3.05021 -0.0633975 0.492874
106 -3.05056 -0.0640859 0.492737
107 -3.05091 -0.0647747 0.492598
108 -3.05125 -0.0654641 0.492458
109 -3.0516 -0.0661539 0.492316
110 -3.05194 -0.0668443 0.492173
111 -3.05228 -0.0675351 0.492029
112 -3.05261 -0.0682264 0.491884
113 -3.05295 -0.0689181 0.491737
114 -3.05328 -0.0696104 0.491589
115 -3.05361 -0.0703031 0.49144
116 -3.05393 -0.0709962 0.491289
117 -3.05426 -0.0716898 0.491137
118 -3.05458 -0.0723838 0.490984
119 -3.0549 -0.0730783 0.490829
120 -3.05522 -0.0737732 0.490673
121 -3.05553 -0.0744685 0.490516
122 -3.05584 -0.0751642 0.490357
123 -3.05615 -0.0758604 0.490197
124 -3.05646 -0.0765569 0.490036
125 -3.05676 -0.0772538 0.489873
126 -3.05706 -0.0779512 0.489709
127 -3.05736 -0.0786489 0.489544
128 -3.05766 -0.079347 0.489377
129 -3.05795 -0.0800454 0.489209
130 -3.05825 -0.0807443 0.48904
131 -3.05854 -0.0814434 0.48887
132 -3.05882 -0.082143 0.488698
133 -3.05911 -0.0828429 0.488524
134 -3.05939 -0.0835431 0.48835
135 -3.05967 -0.0842436 0.488174
136 -3.05995 -0.0849445 0.487997
137 -3.06022 -0.0856457 0.487819
138 -3.06049 -0.0863473 0.487639
139 -3.06076 -0.0870491 0.487458
140 -3.06103 -0.0877512 0.487275
141 -3.0613 -0.0884537 0.487092
142 -3.06156 -0.0891564 0.486906
143 -3.06182 -0.0898594 0.48672
144 -3.06208 -0.0905627 0.486532
145 -3.06233 -0.0912663 0.486343
146 -3.06258 -0.0919701 0.486153
147 -3.06283 -0.0926742 0.485961
148 -3.06308 -0.0933786 0.485769
149 -3.06333 -0.0940831 0.485574
150 -3.06357 -0.094788 0.485379
151 -3.06381 -0.0954931 0.485182
152 -3.06405 -0.0961984 0.484984
153 -3.06428 -0.0969039 0.484784
154 -3.06451 -0.0976096 0.484583
155 -3.06474 -0.0983156 0.484381
156 -3.06497 -0.0990218 0.484178
157 -3.0652 -0.0997281 0.483973
158 -3.06542 -0.100435 0.483767
159 -3.06564 -0.101141 0.483559
160 -3.06586 -0.101848 0.483351
161 -3.06607 -0.102555 0.483141
162 -3.06629 -0.103263 0.482929
163 -3.0665 -0.10397 0.482717
164 -3.0667 -0.104678 0.482503
165 -3.06691 -0.105386 0.482288
166 -3.06711 -0.106093 0.482071
167 -3.06731 -0.106801 0.481853
168 -3.06751 -0.10751 0.481634
169 -3.06771 -0.108218 0.481414
170 -3.0679 -0.108926 0.481192
171 -3.06809 -0.109635 0.480969
172 -3.06828 -0.110343 0.480745
173 -3.06846 -0.111052 0.480519
174 -3.06865 -0.111761 0.480292
175 -3.06883 -0.11247 0.480064
176 -3.069 -0.113179 0.479834
177 -3.06918 -0.113888 0.479603
178 -3.06935 -0.114597 0.479371
179 -3.06952 -0.115306 0.479138
180 -3.06969 -0.116016 0.478903
181 -3.06986 -0.116725 0.478667
182 -3.07002 -0.117434 0.478429
183 -3.07018 -0.118144 0.478191
184 -3.07034 -0.118853 0.477951
185 -3.0705 -0.119563 0.47771
186 -3.07065 -0.120272 0.477467
187 -3.0708 -0.120982 0.477223
188 -3.07095 -0.121691 0.476978
189 -3.07109 -0.122401 0.476732
190 -3.07124 -0.123111 0.476484
191 -3.07138 -0.12382 0.476235
192 -3.07152 -0.12453 0.475985
193 -3.07165 -0.125239 0.475733
194 -3.07179 -0.125949 0.47548
195 -3.07192 -0.126658 0.475226
196 -3.07205 -0.127368 0.474971
197 -3.07217 -0.128077 0.474714
198 -3.07229 -0.128786 0.474456
199 -3.07242 -0.129496 0.474197
200 -3.07253 -0.130205 0.473936
201 -3.07265 -0.130914 0.473675
202 -3.07276 -0.131623 0.473411
203 -3.07288 -0.132332 0.473147
204 -3.07298 -0.133041 0.472881
205 -3.07309 -0.13375 0.472614
206 -3.07319 -0.134459 0.472346
207 -3.07329 -0.135168 0.472077
208 -3.07339 -0.135876 0.471806
209 -3.07349 -0.136585 0.471534
210 -3.07358 -0.137293 0.471261
211 -3.07367 -0.138001 0.470986
212 -3.07376 -0.138709 0.47071
213 -3.07385 -0.139417 0.470433
214 -3.07393 -0.140125 0.470155
215 -3.07402 -0.140833 0.469875
216 -3.07409 -0.14154 0.469594
217 -3.07417 -0.142247 0.469312
218 -3.07425 -0.142955 0.469028
219 -3.07432 -0.143662 0.468744
220 -3.07439 -0.144368 0.468458
221 -3.07445 -0.145075 0.46817
222 -3.07452 -0.145782 0.467882
223 -3.07458 -0.146488 0.467592
224 -3.07464 -0.147194 0.467301
225 -3.07469 -0.1479 0.467009
226 -3.07475 -0.148605 0.466715
227 -3.0748 -0.149311 0.46642
228 -3.07485 -0.150016 0.466124
229 -3.0749 -0.150721 0.465827
