n	rho	drho
0 3 30
1 3.00589 28.9245
2 3.01157 27.8392
3 3.01703 26.7449
4 3.02227 25.6424
5 3.02729 24.5324
6 3.03208 23.4156
7 3.03665 22.2926
8 3.041 21.1639
9 3.04512 20.0303
10 3.04901 18.8921
11 3.05267 17.75
12 3.05611 16.6043
13 3.05932 15.4556
14 3.06229 14.3042
15 3.06504 13.1507
16 3.06755 11.9953
17 3.06984 10.8385
18 3.07189 9.68072
19 3.07371 8.52223
20 3.0753 7.36343
21 3.07665 6.20468
22 3.07778 5.04632
23 3.07867 3.88872
24 3.07933 2.73222
25 3.07976 1.57718
26 3.07996 0.423957
27 3.07993 -0.727078
28 3.07967 -1.87555
29 3.07918 -3.02108
30 3.07847 -4.16327
31 3.07752 -5.3017
32 3.07634 -6.43595
33 3.07494 -7.56558
34 3.07332 -8.69012
35 3.07147 -9.8091
36 3.0694 -10.922
37 3.0671 -12.0283
38 3.06458 -13.1274
39 3.06185 -14.2188
40 3.0589 -15.3018
41 3.05573 -16.3758
42 3.05235 -17.4401
43 3.04875 -18.4939
44 3.04495 -19.5366
45 3.04094 -20.5673
46 3.03672 -21.5852
47 3.0323 -22.5894
48 3.02769 -23.579
49 3.02287 -24.553
50 3.01786 -25.5103
51 3.01267 -26.4499
52 3.00728 -27.3706
53 3.00172 -28.2713
54 2.99598 -29.1507
55 2.99006 -30.0076
56 2.98397 -30.8405
57 2.97772 -31.648
58 2.97131 -32.4287
59 2.96475 -33.181
60 2.95804 -33.9033
61 2.95119 -34.594
62 2.9442 -35.2512
63 2.93709 -35.8734
64 2.92985 -36.4585
65 2.92251 -37.0047
66 2.91505 -37.5101
67 2.9075 -37.9726
68 2.89986 -38.3902
69 2.89215 -38.7609
70 2.88436 -39.0825
71 2.87651 -39.3529
72 2.86862 -39.5699
73 2.86069 -39.7313
74 2.85273 -39.835
75 2.84475 -39.8789
76 2.83677 -39.8608
77 2.82881 -39.7786
78 2.82086 -39.6304
79 2.81295 -39.4141
80 2.8051 -39.1279
81 2.7973 -38.7701
82 2.78959 -38.339
83 2.78197 -37.8332
84 2.77446 -37.2514
85 2.76707 -36.5925
86 2.75982 -35.8558
87 2.75272 -35.0405
88 2.7458 -34.1463
89 2.73907 -33.1732
90 2.73253 -32.1215
91 2.72622 -30.9918
92 2.72014 -29.7851
93 2.7143 -28.5027
94 2.70874 -27.1464
95 2.70345 -25.7182
96 2.69845 -24.2208
97 2.69376 -22.6571
98 2.68939 -21.0305
99 2.68534 -19.3447
100 2.68165 -17.6039
101 2.6783 -15.8127
102 2.67532 -13.9759
103 2.67271 -12.0988
104 2.67048 -10.187
105 2.66864 -8.24611
106 2.66718 -6.28228
107 2.66613 -4.30167
108 2.66546 -2.31063
109 2.6652 -0.315572
110 2.66534 1.67705
111 2.66587 3.66078
112 2.6668 5.62925
113 2.66812 7.57619
114 2.66983 9.4955
115 2.67192 11.3813
116 2.67438 13.2279
117 2.67721 15.0299
118 2.6804 16.7823
119 2.68393 18.4805
120 2.68779 20.12
121 2.69197 21.6969
122 2.69647 23.2078
123 2.70126 24.6494
124 2.70633 26.0191
125 2.71166 27.3145
126 2.71725 28.5338
127 2.72308 29.6755
128 2.72912 30.7385
129 2.73537 31.722
130 2.74181 32.6257
131 2.74842 33.4495
132 2.75519 34.1936
133 2.7621 34.8586
134 2.76914 35.4454
135 2.77628 35.9548
136 2.78352 36.3882
137 2.79083 36.7471
138 2.79822 37.033
139 2.80565 37.2477
140 2.81312 37.393
141 2.8206 37.471
142 2.8281 37.4837
143 2.8356 37.4331
144 2.84308 37.3216
145 2.85053 37.1512
146 2.85794 36.9242
147 2.8653 36.6428
148 2.87259 36.3093
149 2.87982 35.9258
150 2.88696 35.4945
151 2.89402 35.0176
152 2.90097 34.4972
153 2.90782 33.9353
154 2.91455 33.334
155 2.92115 32.6951
156 2.92762 32.0207
157 2.93396 31.3126
158 2.94015 30.5725
159 2.94619 29.8022
160 2.95207 29.0032
161 2.95779 28.1773
162 2.96334 27.326
163 2.96872 26.4507
164 2.97392 25.5528
165 2.97894 24.6336
166 2.98377 23.6945
167 2.98842 22.7367
168 2.99287 21.7614
169 2.99712 20.7696
170 3.00118 19.7624
171 3.00503 18.7408
172 3.00867 17.7058
173 3.01211 16.6583
174 3.01534 15.5991
175 3.01835 14.5291
176 3.02115 13.449
177 3.02373 12.3597
178 3.02609 11.2617
179 3.02823 10.1557
180 3.03015 9.04246
181 3.03185 7.92248
182 3.03332 6.79635
183 3.03457 5.66462
184 3.03559 4.52782
185 3.03638 3.38643
186 3.03694 2.24094
187 3.03728 1.09181
188 3.03738 -0.0605123
189 3.03725 -1.2156
190 3.03689 -2.37304
191 3.0363 -3.53241
192 3.03548 -4.69332
193 3.03443 -5.85537
194 3.03314 -7.01816
195 3.03162 -8.1813
196 3.02987 -9.3444
197 3.02788 -10.5071
198 3.02566 -11.6689
199 3.02321 -12.8294
200 3.02053 -13.9883
201 3.01762 -15.145
202 3.01447 -16.2992
203 3.0111 -17.4503
204 3.00749 -18.5978
205 3.00366 -19.7413
206 2.9996 -20.8802
207 2.99531 -22.0138
208 2.99079 -23.1417
209 2.98605 -24.2631
210 2.98109 -25.3773
211 2.9759 -26.4836
212 2.97049 -27.5812
213 2.96487 -28.6692
214 2.95903 -29.7469
215 2.95297 -30.8131
216 2.9467 -31.8669
217 2.94022 -32.9073
218 2.93354 -33.9329
219 2.92665 -34.9426
220 2.91956 -35.9351
221 2.91228 -36.9089
222 2.9048 -37.8626
223 2.89713 -38.7945
224 2.88928 -39.7029
225 2.88125 -40.586
