n	rho	drho
0 3 10
1 3.0002 9.89294
2 3.0004 9.78585
3 3.00059 9.67872
4 3.00078 9.57156
5 3.00097 9.46437
6 3.00116 9.35714
7 3.00135 9.24989
8 3.00153 9.1426
9 3.00171 9.03527
10 3.00189 8.92792
11 3.00207 8.82054
12 3.00225 8.71313
13 3.00242 8.60569
14 3.00259 8.49822
15 3.00276 8.39072
16 3.00293 8.2832
17 3.00309 8.17565
18 3.00325 8.06807
19 3.00341 7.96047
20 3.00357 7.85284
21 3.00373 7.74519
22 3.00388 7.63751
23 3.00403 7.52981
24 3.00418 7.42209
25 3.00433 7.31434
26 3.00447 7.20657
27 3.00462 7.09878
28 3.00476 6.99097
29 3.0049 6.88314
30 3.00503 6.77529
31 3.00517 6.66742
32 3.0053 6.55953
33 3.00543 6.45162
34 3.00556 6.3437
35 3.00568 6.23575
36 3.00581 6.12779
37 3.00593 6.01981
38 3.00605 5.91182
39 3.00617 5.80381
40 3.00628 5.69579
41 3.00639 5.58775
42 3.0065 5.4797
43 3.00661 5.37164
44 3.00672 5.26356
45 3.00682 5.15547
46 3.00693 5.04737
47 3.00703 4.93926
48 3.00712 4.83113
49 3.00722 4.723
50 3.00731 4.61485
51 3.0074 4.5067
52 3.00749 4.39854
53 3.00758 4.29037
54 3.00766 4.18219
55 3.00775 4.07401
56 3.00783 3.96581
57 3.00791 3.85762
58 3.00798 3.74941
59 3.00806 3.6412
60 3.00813 3.53299
61 3.0082 3.42477
62 3.00826 3.31655
63 3.00833 3.20832
64 3.00839 3.10009
65 3.00845 2.99186
66 3.00851 2.88363
67 3.00857 2.77539
68 3.00862 2.66716
69 3.00868 2.55892
70 3.00873 2.45069
71 3.00877 2.34245
72 3.00882 2.23422
73 3.00886 2.12599
74 3.0089 2.01776
75 3.00894 1.90953
76 3.00898 1.80131
77 3.00902 1.69309
78 3.00905 1.58487
79 3.00908 1.47666
80 3.00911 1.36845
81 3.00913 1.26025
82 3.00916 1.15206
83 3.00918 1.04387
84 3.0092 0.935688
85 3.00922 0.827514
86 3.00923 0.719349
87 3.00925 0.611192
88 3.00926 0.503044
89 3.00927 0.394905
90 3.00927 0.286777
91 3.00928 0.178659
92 3.00928 0.0705522
93 3.00928 -0.0375431
94 3.00928 -0.145626
95 3.00927 -0.253697
96 3.00927 -0.361755
97 3.00926 -0.469799
98 3.00925 -0.577829
99 3.00924 -0.685845
100 3.00922 -0.793845
101 3.0092 -0.90183
102 3.00919 -1.0098
103 3.00916 -1.11775
104 3.00914 -1.22569
105 3.00912 -1.3336
106 3.00909 -1.4415
107 3.00906 -1.54939
108 3.00903 -1.65725
109 3.00899 -1.76509
110 3.00896 -1.87291
111 3.00892 -1.98071
112 3.00888 -2.0885
113 3.00883 -2.19625
114 3.00879 -2.30399
115 3.00874 -2.41171
116 3.00869 -2.5194
117 3.00864 -2.62707
118 3.00859 -2.73471
119 3.00853 -2.84233
120 3.00847 -2.94992
121 3.00841 -3.05749
122 3.00835 -3.16503
123 3.00829 -3.27255
124 3.00822 -3.38003
125 3.00815 -3.48749
126 3.00808 -3.59493
127 3.00801 -3.70233
128 3.00793 -3.8097
129 3.00785 -3.91705
130 3.00778 -4.02436
131 3.00769 -4.13164
132 3.00761 -4.23889
133 3.00752 -4.34611
134 3.00744 -4.4533
135 3.00735 -4.56045
136 3.00725 -4.66757
137 3.00716 -4.77466
138 3.00706 -4.88171
139 3.00696 -4.98873
140 3.00686 -5.09571
141 3.00676 -5.20265
142 3.00666 -5.30956
143 3.00655 -5.41643
144 3.00644 -5.52326
145 3.00633 -5.63005
146 3.00621 -5.73681
147 3.0061 -5.84352
148 3.00598 -5.9502
149 3.00586 -6.05683
150 3.00574 -6.16342
151 3.00561 -6.26998
152 3.00549 -6.37649
153 3.00536 -6.48295
154 3.00523 -6.58937
155 3.00509 -6.69575
156 3.00496 -6.80209
157 3.00482 -6.90838
158 3.00468 -7.01462
159 3.00454 -7.12082
160 3.0044 -7.22697
161 3.00425 -7.33307
162 3.0041 -7.43913
163 3.00396 -7.54514
164 3.0038 -7.65109
165 3.00365 -7.757
166 3.00349 -7.86286
167 3.00333 -7.96867
168 3.00317 -8.07442
169 3.00301 -8.18013
170 3.00285 -8.28578
171 3.00268 -8.39138
172 3.00251 -8.49692
173 3.00234 -8.60241
174 3.00217 -8.70784
175 3.00199 -8.81322
176 3.00181 -8.91855
177 3.00164 -9.02381
178 3.00145 -9.12902
179 3.00127 -9.23417
180 3.00108 -9.33927
181 3.0009 -9.4443
182 3.00071 -9.54927
183 3.00051 -9.65419
184 3.00032 -9.75904
185 3.00012 -9.86383
186 2.99993 -9.96856
187 2.99973 -10.0732
188 2.99952 -10.1778
189 2.99932 -10.2824
190 2.99911 -10.3868
191 2.9989 -10.4912
192 2.99869 -10.5956
193 2.99848 -10.6999
194 2.99826 -10.8041
195 2.99805 -10.9082
196 2.99783 -11.0123
197 2.99761 -11.1163
198 2.99738 -11.2202
199 2.99716 -11.3241
200 2.99693 -11.4279
201 2.9967 -11.5316
202 2.99647 -11.6352
203 2.99623 -11.7388
204 2.996 -11.8423
205 2.99576 -11.9457
206 2.99552 -12.0491
207 2.99528 -12.1523
208 2.99504 -12.2555
209 2.99479 -12.3586
210 2.99454 -12.4617
211 2.99429 -12.5646
212 2.99404 -12.6675
213 2.99378 -12.7703
214 2.99353 -12.873
215 2.99327 -12.9757
216 2.99301 -13.0782
217 2.99275 -13.1807
218 2.99248 -13.2831
219 2.99221 -13.3854
220 2.99195 -13.4876
221 2.99168 -13.5898
222 2.9914 -13.6918
223 2.99113 -13.7938
224 2.99085 -13.8957
225 2.99057 -13.9974
226 2.99029 -14.0991
227 2.99001 -14.2007
228 2.98972 -14.3023
229 2.98944 -14.4037
230 2.98915 -14.505
231 2.98886 -14.6063
232 2.98856 -14.7074
233 2.98827 -14.8084
234 2.98797 -14.9094
235 2.98767 -15.0103
236 2.98737 -15.111
237 2.98707 -15.2117
238 2.98676 -15.3122
239 2.98645 -15.4127
240 2.98614 -15.5131
241 2.98583 -15.6133
242 2.98552 -15.7135
243 2.9852 -15.8136
244 2.98489 -15.9135
245 2.98457 -16.0134
246 2.98425 -16.1131
247 2.98392 -16.2128
248 2.9836 -16.3123
249 2.98327 -16.4117
250 2.98294 -16.5111
251 2.98261 -16.6103
252 2.98228 -16.7094
253 2.98194 -16.8084
254 2.98161 -16.9073
255 2.98127 -17.006
256 2.98092 -17.1047
257 2.98058 -17.2032
258 2.98024 -17.3016
259 2.97989 -17.4
260 2.97954 -17.4982
261 2.97919 -17.5962
262 2.97884 -17.6942
263 2.97848 -17.792
264 2.97813 -17.8898
265 2.97777 -17.9874
266 2.97741 -18.0848
267 2.97704 -18.1822
268 2.97668 -18.2794
269 2.97631 -18.3765
270 2.97594 -18.4735
271 2.97557 -18.5704
272 2.9752 -18.6671
273 2.97483 -18.7637
274 2.97445 -18.8602
275 2.97407 -18.9565
276 2.97369 -19.0527
277 2.97331 -19.1488
278 2.97293 -19.2448
279 2.97254 -19.3406
280 2.97215 -19.4363
281 2.97176 -19.5318
282 2.97137 -19.6272
283 2.97098 -19.7225
284 2.97058 -19.8176
285 2.97018 -19.9126
286 2.96979 -20.0075
287 2.96938 -20.1022
288 2.96898 -20.1968
289 2.96858 -20.2912
290 2.96817 -20.3855
291 2.96776 -20.4796
292 2.96735 -20.5736
293 2.96694 -20.6675
294 2.96652 -20.7612
295 2.96611 -20.8547
296 2.96569 -20.9481
297 2.96527 -21.0414
298 2.96485 -21.1345
299 2.96442 -21.2274
300 2.964 -21.3202
301 2.96357 -21.4128
302 2.96314 -21.5053
303 2.96271 -21.5976
304 2.96228 -21.6898
305 2.96184 -21.7818
306 2.96141 -21.8736
307 2.96097 -21.9653
308 2.96053 -22.0568
309 2.96009 -22.1482
310 2.95964 -22.2394
311 2.9592 -22.3304
312 2.95875 -22.4213
313 2.9583 -22.5119
314 2.95785 -22.6025
315 2.9574 -22.6928
316 2.95694 -22.783
317 2.95648 -22.873
318 2.95603 -22.9628
319 2.95557 -23.0525
320 2.9551 -23.142
321 2.95464 -23.2313
322 2.95418 -23.3204
323 2.95371 -23.4093
324 2.95324 -23.4981
325 2.95277 -23.5867
326 2.9523 -23.6751
327 2.95182 -23.7633
328 2.95134 -23.8514
329 2.95087 -23.9392
330 2.95039 -24.0269
331 2.94991 -24.1143
332 2.94942 -24.2016
333 2.94894 -24.2887
334 2.94845 -24.3756
335 2.94796 -24.4623
336 2.94747 -24.5488
337 2.94698 -24.6351
338 2.94649 -24.7213
339 2.94599 -24.8072
