n	rho	drho
0 3 80
1 3.0016 79.8928
2 3.0032 79.7854
3 3.00479 79.6776
4 3.00638 79.5696
5 3.00797 79.4613
6 3.00956 79.3528
7 3.01115 79.2439
8 3.01273 79.1349
9 3.01431 79.0255
10 3.01589 78.9159
11 3.01747 78.8061
12 3.01904 78.696
13 3.02062 78.5856
14 3.02219 78.475
15 3.02376 78.3642
16 3.02532 78.2531
17 3.02689 78.1418
18 3.02845 78.0303
19 3.03001 77.9185
20 3.03156 77.8065
21 3.03312 77.6943
22 3.03467 77.5818
23 3.03622 77.4692
24 3.03777 77.3563
25 3.03932 77.2432
26 3.04086 77.1299
27 3.0424 77.0163
28 3.04394 76.9026
29 3.04548 76.7887
30 3.04701 76.6746
31 3.04855 76.5602
32 3.05008 76.4457
33 3.0516 76.331
34 3.05313 76.2161
35 3.05465 76.1009
36 3.05617 75.9857
37 3.05769 75.8702
38 3.05921 75.7545
39 3.06072 75.6387
40 3.06223 75.5227
41 3.06374 75.4065
42 3.06525 75.2901
43 3.06675 75.1736
44 3.06826 75.0568
45 3.06976 74.94
46 3.07125 74.8229
47 3.07275 74.7057
48 3.07424 74.5884
49 3.07573 74.4708
50 3.07722 74.3532
51 3.07871 74.2353
52 3.08019 74.1173
53 3.08167 73.9992
54 3.08315 73.8809
55 3.08463 73.7625
56 3.0861 73.6439
57 3.08757 73.5252
58 3.08904 73.4063
59 3.09051 73.2874
60 3.09197 73.1682
61 3.09344 73.049
62 3.0949 72.9296
63 3.09635 72.81
64 3.09781 72.6904
65 3.09926 72.5706
66 3.10071 72.4507
67 3.10216 72.3306
68 3.1036 72.2105
69 3.10505 72.0902
70 3.10649 71.9698
71 3.10793 71.8493
72 3.10936 71.7286
73 3.11079 71.6079
74 3.11223 71.487
75 3.11365 71.366
76 3.11508 71.245
77 3.1165 71.1238
78 3.11793 71.0025
79 3.11934 70.8811
80 3.12076 70.7596
81 3.12217 70.638
82 3.12359 70.5163
83 3.125 70.3945
84 3.1264 70.2726
85 3.12781 70.1506
86 3.12921 70.0285
87 3.13061 69.9064
88 3.132 69.7841
89 3.1334 69.6617
90 3.13479 69.5393
91 3.13618 69.4168
92 3.13757 69.2942
93 3.13895 69.1715
94 3.14033 69.0487
95 3.14171 68.9258
96 3.14309 68.8029
97 3.14447 68.6799
98 3.14584 68.5568
99 3.14721 68.4336
100 3.14858 68.3103
101 3.14994 68.187
102 3.1513 68.0636
103 3.15266 67.9402
104 3.15402 67.8166
105 3.15538 67.693
106 3.15673 67.5694
107 3.15808 67.4456
108 3.15943 67.3218
109 3.16077 67.198
110 3.16211 67.074
111 3.16345 66.95
112 3.16479 66.826
113 3.16613 66.7019
114 3.16746 66.5777
115 3.16879 66.4535
116 3.17012 66.3292
117 3.17144 66.2049
118 3.17277 66.0805
119 3.17409 65.956
120 3.1754 65.8316
121 3.17672 65.707
122 3.17803 65.5824
123 3.17934 65.4578
124 3.18065 65.3331
125 3.18196 65.2083
