n	rho	drho
0 3 70
1 3.0014 69.8928
2 3.0028 69.7854
3 3.00419 69.6778
4 3.00558 69.5699
5 3.00697 69.4617
6 3.00836 69.3534
7 3.00975 69.2448
8 3.01113 69.1359
9 3.01251 69.0268
10 3.01389 68.9176
11 3.01527 68.808
12 3.01664 68.6983
13 3.01802 68.5883
14 3.01939 68.4781
15 3.02076 68.3677
16 3.02212 68.2571
17 3.02349 68.1463
18 3.02485 68.0353
19 3.02621 67.9241
20 3.02757 67.8126
21 3.02892 67.701
22 3.03027 67.5891
23 3.03162 67.4771
24 3.03297 67.3649
25 3.03432 67.2524
26 3.03566 67.1398
27 3.037 67.027
28 3.03834 66.914
29 3.03968 66.8008
30 3.04102 66.6875
31 3.04235 66.5739
32 3.04368 66.4602
33 3.04501 66.3463
34 3.04633 66.2323
35 3.04766 66.118
36 3.04898 66.0036
37 3.0503 65.889
38 3.05161 65.7743
39 3.05293 65.6594
40 3.05424 65.5443
41 3.05555 65.429
42 3.05686 65.3136
43 3.05816 65.1981
44 3.05946 65.0824
45 3.06076 64.9665
46 3.06206 64.8505
47 3.06336 64.7343
48 3.06465 64.618
49 3.06594 64.5015
50 3.06723 64.3849
51 3.06852 64.2681
52 3.0698 64.1512
53 3.07109 64.0342
54 3.07236 63.917
55 3.07364 63.7997
56 3.07492 63.6823
57 3.07619 63.5647
58 3.07746 63.447
59 3.07873 63.3291
60 3.07999 63.2111
61 3.08126 63.093
62 3.08252 62.9748
63 3.08377 62.8565
64 3.08503 62.738
65 3.08628 62.6194
66 3.08754 62.5007
67 3.08878 62.3818
68 3.09003 62.2629
69 3.09127 62.1438
70 3.09252 62.0246
71 3.09376 61.9053
72 3.09499 61.7859
73 3.09623 61.6664
74 3.09746 61.5467
75 3.09869 61.427
76 3.09992 61.3072
77 3.10114 61.1872
78 3.10236 61.0672
79 3.10358 60.947
80 3.1048 60.8268
81 3.10602 60.7064
82 3.10723 60.5859
83 3.10844 60.4654
84 3.10965 60.3448
85 3.11085 60.224
86 3.11206 60.1032
87 3.11326 59.9823
88 3.11446 59.8612
89 3.11565 59.7401
90 3.11685 59.6189
91 3.11804 59.4977
92 3.11923 59.3763
93 3.12041 59.2548
94 3.1216 59.1333
95 3.12278 59.0117
96 3.12396 58.89
97 3.12513 58.7682
98 3.12631 58.6463
99 3.12748 58.5244
100 3.12865 58.4024
101 3.12982 58.2803
102 3.13098 58.1581
103 3.13214 58.0359
104 3.1333 57.9136
105 3.13446 57.7912
106 3.13561 57.6687
107 3.13676 57.5462
108 3.13791 57.4236
109 3.13906 57.3009
110 3.14021 57.1782
111 3.14135 57.0554
112 3.14249 56.9325
113 3.14363 56.8096
114 3.14476 56.6866
115 3.14589 56.5635
116 3.14702 56.4404
117 3.14815 56.3172
118 3.14928 56.194
119 3.1504 56.0707
120 3.15152 55.9473
121 3.15264 55.8239
122 3.15375 55.7004
123 3.15487 55.5769
124 3.15598 55.4533
125 3.15708 55.3297
126 3.15819 55.206
127 3.15929 55.0823
128 3.16039 54.9585
129 3.16149 54.8347
130 3.16259 54.7108
131 3.16368 54.5868
132 3.16477 54.4628
133 3.16586 54.3388
134 3.16694 54.2147
135 3.16803 54.0906
136 3.16911 53.9664
137 3.17018 53.8422
138 3.17126 53.7179
139 3.17233 53.5936
140 3.1734 53.4693
141 3.17447 53.3449
142 3.17554 53.2205
143 3.1766 53.096
144 3.17766 52.9715
145 3.17872 52.847
146 3.17977 52.7224
147 3.18083 52.5977
148 3.18188 52.4731
149 3.18293 52.3484
150 3.18397 52.2237
151 3.18502 52.0989
152 3.18606 51.9741
153 3.18709 51.8493
154 3.18813 51.7244
155 3.18916 51.5995
156 3.19019 51.4746
157 3.19122 51.3496
158 3.19225 51.2246
159 3.19327 51.0996
160 3.19429 50.9745
161 3.19531 50.8494
162 3.19633 50.7243
163 3.19734 50.5992
164 3.19835 50.474
165 3.19936 50.3488
166 3.20036 50.2236
167 3.20137 50.0984
168 3.20237 49.9731
169 3.20337 49.8478
170 3.20436 49.7225
171 3.20536 49.5972
172 3.20635 49.4718
173 3.20733 49.3464
174 3.20832 49.221
175 3.2093 49.0956
176 3.21028 48.9701
177 3.21126 48.8446
178 3.21224 48.7191
179 3.21321 48.5936
180 3.21418 48.4681
181 3.21515 48.3426
