n	rho	drho
0 3 100
1 3.01996 99.6154
2 3.03985 99.2091
3 3.05965 98.783
4 3.07936 98.3387
5 3.09898 97.8778
6 3.11851 97.4018
7 3.13794 96.912
8 3.15728 96.4097
9 3.17651 95.896
10 3.19563 95.3721
11 3.21466 94.839
12 3.23357 94.2975
13 3.25237 93.7485
14 3.27107 93.193
15 3.28965 92.6315
16 3.30812 92.0648
17 3.32648 91.4936
18 3.34472 90.9183
19 3.36284 90.3396
20 3.38085 89.7579
21 3.39875 89.1738
22 3.41652 88.5875
23 3.43418 87.9995
24 3.45172 87.4102
25 3.46915 86.8199
26 3.48645 86.2289
27 3.50364 85.6374
28 3.52071 85.0458
29 3.53766 84.4542
30 3.55449 83.8628
31 3.5712 83.272
32 3.5878 82.6817
33 3.60427 82.0923
34 3.62063 81.5038
35 3.63688 80.9164
36 3.653 80.3302
37 3.66901 79.7453
38 3.6849 79.1619
39 3.70067 78.58
40 3.71633 77.9997
41 3.73187 77.4211
42 3.7473 76.8442
43 3.76261 76.2691
44 3.77781 75.696
45 3.79289 75.1247
46 3.80786 74.5555
47 3.82271 73.9882
48 3.83745 73.423
49 3.85208 72.8599
50 3.8666 72.2989
51 3.881 71.74
52 3.89529 71.1833
53 3.90947 70.6288
54 3.92354 70.0765
55 3.9375 69.5264
56 3.95135 68.9785
57 3.9651 68.4329
58 3.97873 67.8895
59 3.99225 67.3484
60 4.00567 66.8095
61 4.01897 66.273
62 4.03218 65.7387
63 4.04527 65.2066
64 4.05826 64.6769
65 4.07114 64.1494
66 4.08392 63.6242
67 4.09659 63.1013
68 4.10916 62.5806
69 4.12162 62.0623
70 4.13398 61.5462
71 4.14624 61.0323
72 4.1584 60.5208
73 4.17045 60.0114
74 4.1824 59.5044
75 4.19425 58.9996
76 4.206 58.497
77 4.21765 57.9967
78 4.2292 57.4986
79 4.24065 57.0028
80 4.252 56.5091
81 4.26325 56.0177
82 4.27441 55.5285
83 4.28546 55.0415
84 4.29642 54.5568
85 4.30729 54.0742
86 4.31805 53.5938
87 4.32872 53.1156
88 4.3393 52.6396
89 4.34978 52.1657
90 4.36017 51.694
91 4.37046 51.2245
92 4.38066 50.7572
93 4.39076 50.292
94 4.40077 49.829
95 4.41069 49.3681
96 4.42052 48.9093
97 4.43026 48.4527
98 4.4399 47.9982
99 4.44946 47.5459
100 4.45892 47.0957
101 4.46829 46.6475
102 4.47758 46.2016
103 4.48677 45.7577
104 4.49588 45.3159
105 4.5049 44.8762
106 4.51383 44.4387
107 4.52268 44.0032
108 4.53143 43.5699
109 4.5401 43.1386
110 4.54869 42.7094
111 4.55719 42.2823
112 4.5656 41.8573
113 4.57393 41.4343
114 4.58218 41.0135
115 4.59034 40.5947
116 4.59841 40.178
117 4.60641 39.7634
118 4.61432 39.3508
119 4.62215 38.9403
120 4.6299 38.5319
121 4.63756 38.1256
122 4.64515 37.7213
123 4.65265 37.3191
124 4.66007 36.9189
125 4.66742 36.5208
126 4.67468 36.1248
127 4.68187 35.7308
128 4.68897 35.3389
129 4.696 34.949
130 4.70295 34.5612
131 4.70983 34.1755
132 4.71662 33.7918
133 4.72334 33.4101
134 4.72999 33.0306
135 4.73656 32.653
136 4.74305 32.2776
137 4.74947 31.9042
138 4.75581 31.5328
139 4.76208 31.1635
140 4.76828 30.7963
141 4.7744 30.4311
142 4.78045 30.0679
143 4.78643 29.7069
144 4.79233 29.3478
145 4.79816 28.9909
146 4.80393 28.636
147 4.80962 28.2831
148 4.81524 27.9323
149 4.82079 27.5836
150 4.82627 27.2369
151 4.83169 26.8923
152 4.83703 26.5497
153 4.84231 26.2092
154 4.84751 25.8708
155 4.85266 25.5344
156 4.85773 25.2001
157 4.86274 24.8679
158 4.86768 24.5377
159 4.87255 24.2095
160 4.87736 23.8835
161 4.8821 23.5595
162 4.88678 23.2375
163 4.8914 22.9177
164 4.89595 22.5999
165 4.90044 22.2841
166 4.90486 21.9704
167 4.90923 21.6588
168 4.91353 21.3493
169 4.91777 21.0418
170 4.92194 20.7364
171 4.92606 20.433
172 4.93012 20.1318
173 4.93411 19.8326
174 4.93805 19.5354
175 4.94193 19.2403
176 4.94575 18.9473
177 4.94951 18.6564
178 4.95321 18.3675
179 4.95685 18.0807
180 4.96044 17.7959
181 4.96397 17.5132
182 4.96745 17.2326
183 4.97087 16.954
184 4.97423 16.6775
185 4.97754 16.403
186 4.98079 16.1307
187 4.98399 15.8603
188 4.98713 15.592
189 4.99023 15.3258
190 4.99326 15.0617
191 4.99625 14.7995
192 4.99918 14.5395
193 5.00207 14.2814
194 5.0049 14.0255
195 5.00768 13.7715
196 5.0104 13.5196
197 5.01308 13.2698
198 5.01571 13.022
199 5.01829 12.7762
200 5.02082 12.5324
201 5.02331 12.2907
202 5.02574 12.051
203 5.02813 11.8133
204 5.03046 11.5776
205 5.03276 11.344
206 5.035 11.1123
207 5.0372 10.8827
208 5.03936 10.655
209 5.04146 10.4294
210 5.04353 10.2057
211 5.04555 9.98405
212 5.04752 9.76436
213 5.04945 9.54665
214 5.05134 9.33091
215 5.05318 9.11713
216 5.05499 8.90532
217 5.05675 8.69546
218 5.05846 8.48754
219 5.06014 8.28157
220 5.06178 8.07754
221 5.06337 7.87543
222 5.06493 7.67524
223 5.06644 7.47697
224 5.06792 7.28061
225 5.06935 7.08615
226 5.07075 6.89357
227 5.07211 6.70289
228 5.07343 6.51407
229 5.07472 6.32713
230 5.07596 6.14204
231 5.07717 5.9588
232 5.07835 5.77741
233 5.07949 5.59784
234 5.08059 5.4201
235 5.08165 5.24417
236 5.08269 5.07004
237 5.08368 4.8977
238 5.08464 4.72714
239 5.08557 4.55835
240 5.08647 4.39132
241 5.08733 4.22604
242 5.08816 4.0625
243 5.08895 3.90068
244 5.08972 3.74058
245 5.09045 3.58217
246 5.09115 3.42545
247 5.09182 3.27041
248 5.09246 3.11703
249 5.09307 2.9653
250 5.09365 2.81521
251 5.09419 2.66674
252 5.09471 2.51988
253 5.0952 2.37461
254 5.09566 2.23092
255 5.09609 2.08879
256 5.0965 1.94821
257 5.09687 1.80917
258 5.09722 1.67165
259 5.09754 1.53563
260 5.09784 1.4011
261 5.0981 1.26803
262 5.09834 1.13643
263 5.09856 1.00626
264 5.09874 0.877505
265 5.09891 0.750158
266 5.09905 0.624196
267 5.09916 0.499602
268 5.09924 0.376358
269 5.09931 0.254445
270 5.09935 0.133844
271 5.09936 0.0145375
272 5.09935 -0.103495
273 5.09932 -0.220271
274 5.09926 -0.335812
275 5.09919 -0.450137
276 5.09908 -0.563267
277 5.09896 -0.675221
278 5.09881 -0.78602
279 5.09865 -0.895685
280 5.09846 -1.00424
281 5.09824 -1.1117
282 5.09801 -1.21809
283 5.09776 -1.32343
284 5.09748 -1.42775
285 5.09719 -1.53106
286 5.09687 -1.63339
287 5.09653 -1.73477
288 5.09618 -1.83521
289 5.0958 -1.93473
290 5.0954 -2.03337
291 5.09499 -2.13114
292 5.09455 -2.22807
293 5.09409 -2.32419
294 5.09362 -2.41951
295 5.09313 -2.51407
296 5.09261 -2.60788
297 5.09208 -2.70097
298 5.09153 -2.79337
299 5.09097 -2.8851
300 5.09038 -2.97619
301 5.08978 -3.06667
302 5.08915 -3.15655
303 5.08851 -3.24587
304 5.08785 -3.33466
305 5.08718 -3.42293
306 5.08649 -3.51072
307 5.08577 -3.59805
308 5.08505 -3.68496
309 5.0843 -3.77146
310 5.08354 -3.85758
311 5.08276 -3.94336
312 5.08196 -4.02882
313 5.08115 -4.11399
314 5.08031 -4.19889
315 5.07947 -4.28356
316 5.0786 -4.36803
317 5.07772 -4.45232
318 5.07682 -4.53646
319 5.0759 -4.62047
320 5.07497 -4.7044
321 5.07402 -4.78827
322 5.07306 -4.8721
323 5.07207 -4.95594
324 5.07107 -5.0398
325 5.07006 -5.12371
326 5.06902 -5.20771
327 5.06797 -5.29183
328 5.06691 -5.3761
329 5.06582 -5.46054
330 5.06472 -5.54519
331 5.06361 -5.63008
332 5.06247 -5.71523
333 5.06132 -5.80069
334 5.06015 -5.88647
335 5.05897 -5.97261
336 5.05776 -6.05914
337 5.05654 -6.14609
338 5.0553 -6.2335
339 5.05405 -6.32138
340 5.05278 -6.40979
341 5.05148 -6.49873
342 5.05018 -6.58826
343 5.04885 -6.67838
344 5.0475 -6.76915
345 5.04614 -6.86059
346 5.04476 -6.95273
347 5.04336 -7.0456
348 5.04194 -7.13923
349 5.0405 -7.23366
350 5.03905 -7.32891
351 5.03757 -7.42502
352 5.03608 -7.52202
353 5.03456 -7.61994
354 5.03303 -7.71881
355 5.03148 -7.81866
356 5.0299 -7.91952
357 5.02831 -8.02143
358 5.02669 -8.12441
359 5.02506 -8.2285
360 5.0234 -8.33373
361 5.02173 -8.44012
362 5.02003 -8.54772
363 5.01831 -8.65655
364 5.01656 -8.76663
365 5.0148 -8.87802
366 5.01301 -8.99072
367 5.0112 -9.10478
368 5.00937 -9.22022
369 5.00752 -9.33707
370 5.00564 -9.45538
371 5.00373 -9.57515
372 5.00181 -9.69644
373 4.99986 -9.81925
374 4.99788 -9.94364
375 4.99588 -10.0696
376 4.99385 -10.1972
377 4.9918 -10.3265
378 4.98972 -10.4574
379 4.98762 -10.5901
380 4.98548 -10.7245
381 4.98333 -10.8607
382 4.98114 -10.9987
383 4.97893 -11.1385
384 4.97668 -11.2801
385 4.97441 -11.4237
386 4.97212 -11.5692
387 4.96979 -11.7166
388 4.96743 -11.866
389 4.96504 -12.0174
390 4.96262 -12.1708
391 4.96017 -12.3263
392 4.95769 -12.4839
393 4.95518 -12.6436
394 4.95263 -12.8054
395 4.95006 -12.9694
396 4.94745 -13.1355
397 4.9448 -13.3039
398 4.94212 -13.4746
399 4.93941 -13.6475
400 4.93667 -13.8227
401 4.93388 -14.0002
402 4.93107 -14.1801
403 4.92821 -14.3623
404 4.92532 -14.547
405 4.92239 -14.7341
406 4.91943 -14.9236
407 4.91642 -15.1156
408 4.91338 -15.3101
409 4.9103 -15.5071
410 4.90718 -15.7066
411 4.90402 -15.9088
412 4.90081 -16.1135
413 4.89757 -16.3208
414 4.89429 -16.5308
415 4.89096 -16.7434
416 4.88759 -16.9587
417 4.88418 -17.1767
418 4.88072 -17.3974
419 4.87722 -17.6209
420 4.87367 -17.8471
421 4.87008 -18.0762
422 4.86644 -18.308
423 4.86275 -18.5427
424 4.85902 -18.7802
425 4.85524 -19.0206
426 4.85141 -19.2638
427 4.84754 -19.51
428 4.84361 -19.7591
429 4.83963 -20.0112
430 4.83561 -20.2662
431 4.83153 -20.5241
432 4.8274 -20.7851
433 4.82321 -21.0491
434 4.81898 -21.3162
435 4.81469 -21.5862
436 4.81034 -21.8594
437 4.80594 -22.1356
438 4.80149 -22.4149
439 4.79698 -22.6973
440 4.79241 -22.9829
441 4.78778 -23.2716
442 4.7831 -23.5634
443 4.77836 -23.8585
444 4.77356 -24.1567
445 4.7687 -24.4581
446 4.76377 -24.7627
447 4.75879 -25.0705
448 4.75374 -25.3815
449 4.74864 -25.6959
450 4.74347 -26.0134
451 4.73823 -26.3342
452 4.73293 -26.6584
453 4.72757 -26.9858
454 4.72214 -27.3165
455 4.71664 -27.6505
456 4.71108 -27.9878
457 4.70545 -28.3284
458 4.69975 -28.6724
459 4.69398 -29.0197
460 4.68814 -29.3704
461 4.68223 -29.7244
462 4.67625 -30.0818
463 4.6702 -30.4425
464 4.66407 -30.8067
465 4.65787 -31.1742
466 4.6516 -31.5451
467 4.64526 -31.9193
468 4.63884 -32.297
469 4.63234 -32.6781
470 4.62576 -33.0625
471 4.61911 -33.4504
472 4.61238 -33.8416
473 4.60558 -34.2363
474 4.59869 -34.6343
475 4.59172 -35.0358
476 4.58467 -35.4407
477 4.57755 -35.8489
478 4.57034 -36.2606
479 4.56304 -36.6756
480 4.55567 -37.0941
481 4.5482 -37.5159
482 4.54066 -37.9411
483 4.53303 -38.3697
484 4.52531 -38.8016
485 4.51751 -39.237
486 4.50962 -39.6757
487 4.50164 -40.1177
488 4.49357 -40.5631
489 4.48541 -41.0118
490 4.47716 -41.4638
491 4.46883 -41.9192
492 4.4604 -42.3778
493 4.45187 -42.8397
494 4.44326 -43.3049
495 4.43455 -43.7734
496 4.42575 -44.2451
497 4.41685 -44.72
498 4.40786 -45.1981
499 4.39878 -45.6794
500 4.38959 -46.1639
501 4.38031 -46.6515
502 4.37093 -47.1423
503 4.36145 -47.6361
504 4.35188 -48.133
505 4.3422 -48.633
506 4.33242 -49.136
507 4.32255 -49.642
508 4.31257 -50.1509
509 4.30249 -50.6628
510 4.2923 -51.1775
511 4.28201 -51.6951
512 4.27162 -52.2156
513 4.26113 -52.7388
514 4.25053 -53.2648
515 4.23982 -53.7934
516 4.22901 -54.3248
517 4.21809 -54.8587
518 4.20707 -55.3952
519 4.19593 -55.9342
520 4.18469 -56.4757
521 4.17334 -57.0196
522 4.16189 -57.5658
523 4.15032 -58.1143
524 4.13864 -58.6651
525 4.12685 -59.218
526 4.11495 -59.773
527 4.10294 -60.33
528 4.09082 -60.8889
529 4.07859 -61.4498
530 4.06624 -62.0124
531 4.05378 -62.5767
532 4.04121 -63.1426
533 4.02852 -63.7101
534 4.01573 -64.2789
535 4.00281 -64.8491
536 3.98979 -65.4205
537 3.97664 -65.9931
538 3.96339 -66.5666
539 3.95002 -67.141
540 3.93653 -67.7162
541 3.92293 -68.292
542 3.90922 -68.8683
543 3.89538 -69.445
544 3.88144 -70.0218
545 3.86738 -70.5988
546 3.8532 -71.1756
547 3.83891 -71.7522
548 3.8245 -72.3283
549 3.80997 -72.9039
550 3.79534 -73.4786
551 3.78058 -74.0524
552 3.76571 -74.6249
553 3.75073 -75.1961
554 3.73564 -75.7657
555 3.72043 -76.3334
556 3.7051 -76.899
557 3.68967 -77.4623
558 3.67412 -78.023
559 3.65846 -78.5809
560 3.64269 -79.1357
561 3.6268 -79.687
562 3.61081 -80.2346
563 3.59471 -80.7783
564 3.5785 -81.3176
565 3.56218 -81.8522
566 3.54576 -82.3818
567 3.52923 -82.906
568 3.5126 -83.4244
569 3.49586 -83.9368
570 3.47902 -84.4426
571 3.46208 -84.9414
572 3.44505 -85.4329
573 3.42791 -85.9166
574 3.41068 -86.3919
575 3.39335 -86.8586
576 3.37594 -87.316
577 3.35843 -87.7638
578 3.34083 -88.2012
579 3.32315 -88.628
580 3.30538 -89.0434
581 3.28753 -89.447
582 3.2696 -89.8382
583 3.25159 -90.2165
584 3.23351 -90.5812
585 3.21536 -90.9317
586 3.19714 -91.2675
587 3.17885 -91.588
588 3.16051 -91.8925
589 3.1421 -92.1804
590 3.12363 -92.4512
591 3.10512 -92.7042
592 3.08655 -92.9389
593 3.06794 -93.1546
594 3.04929 -93.3509
595 3.0306 -93.527
596 3.01188 -93.6826
597 2.99313 -93.8171
598 2.97435 -93.93
599 2.95556 -94.0211
600 2.93674 -94.0897
601 2.91792 -94.1358
602 2.89909 -94.159
603 2.88026 -94.1591
604 2.86143 -94.136
605 2.8426 -94.0898
606 2.82379 -94.0206
607 2.80499 -93.9285
608 2.78622 -93.8139
609 2.76747 -93.6773
610 2.74875 -93.5191
611 2.73006 -93.3403
612 2.71141 -93.1416
613 2.6928 -92.9242
614 2.67424 -92.6893
615 2.65573 -92.4383
616 2.63727 -92.1728
617 2.61886 -91.8947
618 2.60051 -91.6058
619 2.58222 -91.3083
620 2.56398 -91.0046
621 2.54581 -90.6972
622 2.52771 -90.3886
623 2.50966 -90.0817
624 2.49167 -89.7792
625 2.47375 -89.4843
626 2.45588 -89.1998
627 2.43807 -88.9287
628 2.42031 -88.674
629 2.4026 -88.4385
630 2.38493 -88.225
631 2.36731 -88.0359
632 2.34972 -87.8735
633 2.33216 -87.7396
634 2.31462 -87.6358
635 2.2971 -87.563
636 2.2796 -87.5216
637 2.2621 -87.5117
638 2.24459 -87.5322
639 2.22708 -87.5818
640 2.20956 -87.6582
641 2.19202 -87.7582
642 2.17446 -87.878
643 2.15687 -88.0129
644 2.13925 -88.1575
645 2.12161 -88.3056
646 2.10393 -88.4504
647 2.08623 -88.5844
648 2.0685 -88.6998
649 2.05075 -88.7885
650 2.03298 -88.8421
651 2.01521 -88.8525
652 1.99744 -88.812
653 1.97968 -88.7134
654 1.96195 -88.5503
655 1.94426 -88.3176
656 1.92663 -88.0117
657 1.90906 -87.6309
658 1.89157 -87.1753
659 1.87419 -86.6474
660 1.85692 -86.0524
661 1.83977 -85.398
662 1.82276 -84.6943
663 1.80589 -83.9544
664 1.78917 -83.1935
665 1.77261 -82.4287
666 1.7562 -81.6789
667 1.73994 -80.9634
668 1.72382 -80.3018
669 1.70782 -79.7124
670 1.69193 -79.2116
671 1.67614 -78.8128
672 1.66041 -78.5255
673 1.64473 -78.3544
674 1.62907 -78.2994
675 1.61341 -78.3557
676 1.59772 -78.5147
677 1.582 -78.7655
678 1.56622 -79.0973
679 1.55036 -79.502
680 1.53442 -79.9769
681 1.51837 -80.5263
682 1.50221 -81.1628
683 1.4859 -81.9043
684 1.46944 -82.7694
685 1.4528 -83.7687
686 1.43594 -84.893
687 1.41884 -86.1009
688 1.4015 -87.3069
689 1.38392 -88.3736
690 1.36615 -89.1128
691 1.34827 -89.2948
692 1.33043 -88.6709
693 1.3128 -87.0057
694 1.29563 -84.118
695 1.27916 -79.924
696 1.26366 -74.4763
697 1.24937 -67.9884
698 1.23646 -60.838
