n	x	y	z
0 -3 -0.000118039 0
1 -3.09831 -0.031106 0
2 -3.19257 -0.0726907 0
3 -3.2823 -0.12348 0
4 -3.36717 -0.182258 0
5 -3.447 -0.247969 0
6 -3.52167 -0.319696 0
7 -3.59118 -0.396645 0
8 -3.65553 -0.478124 0
9 -3.71479 -0.563529 0
10 -3.76902 -0.652331 0
11 -3.81833 -0.744065 0
12 -3.86282 -0.83832 0
13 -3.9026 -0.93473 0
14 -3.93778 -1.03297 0
15 -3.96849 -1.13276 0
16 -3.99485 -1.23382 0
17 -4.01698 -1.33593 0
18 -4.03498 -1.43888 0
19 -4.04899 -1.54248 0
20 -4.05911 -1.64655 0
21 -4.06545 -1.75094 0
22 -4.06813 -1.85551 0
23 -4.06725 -1.96012 0
24 -4.0629 -2.06465 0
25 -4.0552 -2.16901 0
26 -4.04423 -2.27308 0
27 -4.0301 -2.37677 0
28 -4.0129 -2.48 0
29 -3.99271 -2.5827 0
30 -3.96962 -2.68479 0
31 -3.94372 -2.78621 0
32 -3.91508 -2.88689 0
33 -3.8838 -2.98679 0
34 -3.84994 -3.08584 0
35 -3.81358 -3.18401 0
36 -3.7748 -3.28125 0
37 -3.73366 -3.37751 0
38 -3.69024 -3.47277 0
39 -3.6446 -3.56699 0
40 -3.59682 -3.66014 0
41 -3.54694 -3.75219 0
42 -3.49505 -3.84312 0
43 -3.44119 -3.9329 0
44 -3.38543 -4.02151 0
45 -3.32782 -4.10894 0
46 -3.26842 -4.19516 0
47 -3.20729 -4.28016 0
48 -3.14448 -4.36393 0
49 -3.08005 -4.44646 0
50 -3.01403 -4.52773 0
51 -2.94649 -4.60774 0
52 -2.87747 -4.68648 0
53 -2.80702 -4.76394 0
54 -2.73518 -4.84012 0
55 -2.66201 -4.91502 0
56 -2.58753 -4.98863 0
57 -2.51181 -5.06095 0
58 -2.43487 -5.13198 0
59 -2.35676 -5.20173 0
60 -2.27751 -5.27019 0
61 -2.19718 -5.33737 0
62 -2.11578 -5.40326 0
63 -2.03337 -5.46788 0
64 -1.94997 -5.53123 0
65 -1.86562 -5.59331 0
66 -1.78036 -5.65413 0
67 -1.69421 -5.71369 0
68 -1.60721 -5.77201 0
69 -1.51939 -5.82909 0
70 -1.43078 -5.88494 0
71 -1.34141 -5.93957 0
72 -1.25131 -5.99298 0
73 -1.1605 -6.0452 0
74 -1.06901 -6.09622 0
75 -0.976874 -6.14606 0
76 -0.884109 -6.19473 0
77 -0.790743 -6.24225 0
78 -0.696799 -6.28861 0
79 -0.6023 -6.33384 0
80 -0.507268 -6.37794 0
81 -0.411726 -6.42094 0
82 -0.315695 -6.46283 0
83 -0.219194 -6.50364 0
84 -0.122245 -6.54338 0
85 -0.0248645 -6.58206 0
86 0.0729272 -6.61969 0
87 0.171113 -6.65629 0
88 0.269674 -6.69187 0
89 0.368596 -6.72645 0
90 0.467861 -6.76003 0
91 0.567454 -6.79264 0
92 0.667359 -6.82428 0
93 0.767563 -6.85497 0
94 0.868051 -6.88472 0
95 0.96881 -6.91356 0
96 1.06983 -6.94148 0
97 1.17109 -6.96851 0
98 1.27258 -6.99466 0
99 1.3743 -7.01994 0
100 1.47622 -7.04437 0
101 1.57835 -7.06796 0
102 1.68066 -7.09073 0
103 1.78315 -7.11268 0
104 1.88581 -7.13384 0
105 1.98863 -7.1542 0
106 2.0916 -7.1738 0
107 2.19472 -7.19264 0
108 2.29797 -7.21073 0
109 2.40134 -7.2281 0
110 2.50484 -7.24474 0
111 2.60844 -7.26067 0
112 2.71215 -7.27591 0
113 2.81596 -7.29047 0
114 2.91986 -7.30436 0
115 3.02385 -7.3176 0
116 3.12792 -7.33019 0
117 3.23206 -7.34214 0
118 3.33627 -7.35348 0
119 3.44055 -7.3642 0
120 3.54489 -7.37433 0
121 3.64928 -7.38387 0
122 3.75372 -7.39283 0
123 3.85821 -7.40123 0
124 3.96274 -7.40907 0
125 4.06731 -7.41638 0
126 4.17191 -7.42314 0
127 4.27655 -7.42939 0
128 4.38121 -7.43513 0
129 4.4859 -7.44036 0
130 4.59061 -7.4451 0
131 4.69535 -7.44935 0
132 4.80009 -7.45314 0
133 4.90486 -7.45646 0
134 5.00963 -7.45932 0
135 5.11442 -7.46174 0
136 5.21921 -7.46372 0
137 5.32401 -7.46528 0
138 5.42881 -7.46641 0
139 5.53361 -7.46713 0
140 5.63842 -7.46745 0
141 5.74322 -7.46738 0
142 5.84802 -7.46692 0
143 5.95281 -7.46608 0
144 6.0576 -7.46486 0
145 6.16239 -7.46329 0
146 6.26716 -7.46135 0
147 6.37193 -7.45907 0
148 6.47668 -7.45644 0
149 6.58143 -7.45348 0
150 6.68616 -7.45019 0
151 6.79088 -7.44657 0
