n	v_eff	rho
0 0 3
1 450 3.00998
2 481 3.01994
3 512.482 3.02986
4 544.404 3.03975
5 576.725 3.0496
6 609.408 3.05943
7 642.415 3.06922
8 675.713 3.07897
9 709.267 3.08869
10 743.047 3.09838
11 777.022 3.10803
12 811.165 3.11764
13 845.448 3.12722
14 879.846 3.13676
15 914.334 3.14627
16 948.889 3.15574
17 983.491 3.16517
18 1018.12 3.17457
19 1052.75 3.18393
20 1087.37 3.19325
21 1121.96 3.20253
22 1156.5 3.21178
23 1190.98 3.22099
24 1225.39 3.23017
25 1259.7 3.2393
26 1293.91 3.2484
27 1328.01 3.25746
28 1361.98 3.26648
29 1395.81 3.27547
30 1429.5 3.28442
31 1463.03 3.29333
32 1496.4 3.3022
33 1529.59 3.31104
34 1562.6 3.31984
35 1595.43 3.3286
36 1628.06 3.33732
37 1660.49 3.34601
38 1692.71 3.35466
39 1724.72 3.36328
40 1756.52 3.37185
41 1788.1 3.38039
42 1819.45 3.38889
43 1850.58 3.39736
44 1881.48 3.40579
45 1912.14 3.41418
46 1942.57 3.42254
47 1972.75 3.43086
48 2002.7 3.43915
49 2032.41 3.4474
50 2061.87 3.45561
51 2091.08 3.46379
52 2120.05 3.47193
53 2148.77 3.48004
54 2177.24 3.48812
55 2205.46 3.49615
56 2233.44 3.50416
57 2261.16 3.51213
58 2288.64 3.52006
59 2315.86 3.52796
60 2342.84 3.53583
61 2369.57 3.54366
62 2396.04 3.55146
63 2422.27 3.55922
64 2448.26 3.56695
65 2474 3.57465
66 2499.49 3.58232
67 2524.73 3.58995
68 2549.74 3.59755
69 2574.5 3.60512
70 2599.02 3.61265
71 2623.3 3.62016
72 2647.34 3.62763
73 2671.15 3.63507
74 2694.71 3.64247
75 2718.05 3.64985
76 2741.15 3.65719
77 2764.02 3.66451
78 2786.66 3.67179
79 2809.07 3.67904
80 2831.26 3.68627
81 2853.22 3.69346
82 2874.96 3.70062
83 2896.48 3.70775
84 2917.78 3.71485
85 2938.86 3.72192
86 2959.73 3.72897
87 2980.38 3.73598
88 3000.82 3.74296
89 3021.05 3.74992
90 3041.08 3.75685
91 3060.89 3.76374
92 3080.5 3.77061
93 3099.91 3.77746
94 3119.12 3.78427
95 3138.13 3.79106
96 3156.95 3.79781
97 3175.56 3.80455
98 3193.99 3.81125
99 3212.22 3.81793
100 3230.27 3.82458
101 3248.13 3.8312
102 3265.8 3.83779
103 3283.29 3.84436
104 3300.59 3.85091
105 3317.72 3.85742
106 3334.67 3.86392
107 3351.44 3.87038
108 3368.04 3.87682
109 3384.47 3.88324
110 3400.72 3.88963
111 3416.81 3.89599
112 3432.72 3.90233
113 3448.48 3.90864
114 3464.07 3.91493
115 3479.5 3.9212
116 3494.76 3.92744
117 3509.87 3.93366
118 3524.82 3.93985
119 3539.62 3.94602
120 3554.27 3.95217
121 3568.76 3.95829
122 3583.1 3.96439
123 3597.29 3.97046
124 3611.34 3.97652
125 3625.24 3.98255
126 3639 3.98855
127 3652.62 3.99454
128 3666.1 4.0005
129 3679.43 4.00644
130 3692.63 4.01236
131 3705.7 4.01825
132 3718.63 4.02413
133 3731.43 4.02998
134 3744.09 4.03581
135 3756.63 4.04162
136 3769.03 4.04741
137 3781.32 4.05317
138 3793.47 4.05892
139 3805.5 4.06464
140 3817.41 4.07035
141 3829.2 4.07603
142 3840.86 4.08169
143 3852.41 4.08733
144 3863.84 4.09296
145 3875.16 4.09856
146 3886.36 4.10414
147 3897.44 4.1097
148 3908.42 4.11525
149 3919.28 4.12077
150 3930.03 4.12627
151 3940.68 4.13176
152 3951.22 4.13722
153 3961.65 4.14267
154 3971.97 4.1481
155 3982.2 4.15351
156 3992.32 4.1589
157 4002.34 4.16427
158 4012.26 4.16962
159 4022.08 4.17496
160 4031.8 4.18027
161 4041.42 4.18557
162 4050.95 4.19085
163 4060.38 4.19612
164 4069.72 4.20136
165 4078.97 4.20659
166 4088.13 4.2118
167 4097.19 4.21699
168 4106.17 4.22217
169 4115.05 4.22733
170 4123.85 4.23247
171 4132.56 4.23759
172 4141.19 4.2427
173 4149.73 4.24779
174 4158.19 4.25287
175 4166.56 4.25793
176 4174.85 4.26297
177 4183.06 4.26799
178 4191.2 4.273
179 4199.25 4.278
180 4207.22 4.28298
181 4215.11 4.28794
182 4222.93 4.29288
183 4230.67 4.29781
184 4238.34 4.30273
185 4245.93 4.30763
186 4253.45 4.31251
187 4260.9 4.31738
188 4268.27 4.32224
189 4275.58 4.32708
190 4282.81 4.3319
191 4289.97 4.33671
192 4297.07 4.3415
193 4304.09 4.34628
